"","scenario","run","realyear","country","catchmentID","unpruned","pruned","averted","cum_vacc","cum_totvacc","cum_totaver_spillover","vaccinated_infected","spillover","h2h"
"1",1,"run1",1,"Nigeria","NGA.12_1",24121,24121,0,43.3386,43.3386,0,43.3386,22654,1467
"2",1,"run1",2,"Nigeria","NGA.12_1",24212,24212,0,43.497,86.8356,0,86.8356,22654,1558
"3",1,"run1",3,"Nigeria","NGA.12_1",24209,24209,0,43.461,130.2966,0,130.2966,22654,1555
"4",1,"run1",4,"Nigeria","NGA.12_1",24234,24234,0,43.4538,173.7504,0,173.7504,22654,1580
"5",1,"run1",5,"Nigeria","NGA.12_1",24177,24177,0,43.3818,217.1322,0,217.1322,22654,1523
"6",1,"run1",6,"Nigeria","NGA.12_1",24189,24189,0,43.4682,260.6004,0,260.6004,22654,1535
"7",1,"run1",7,"Nigeria","NGA.12_1",24167,24167,0,43.2432,303.8436,0,303.8436,22654,1513
"8",1,"run1",8,"Nigeria","NGA.12_1",24149,24149,0,43.3368,347.1804,0,347.1804,22654,1495
"9",1,"run1",9,"Nigeria","NGA.12_1",24191,24191,0,43.4736,390.654,0,390.654,22654,1537
"10",1,"run1",10,"Nigeria","NGA.12_1",24188,24188,0,43.3494,434.0034,0,434.0034,22654,1534
"11",1,"run10",1,"Nigeria","NGA.12_1",28130,28130,0,50.4684,50.4684,0,50.4684,26336,1794
"12",1,"run10",2,"Nigeria","NGA.12_1",28144,28144,0,50.5242,100.9926,0,100.9926,26336,1808
"13",1,"run10",3,"Nigeria","NGA.12_1",28143,28143,0,50.4954,151.488,0,151.488,26336,1807
"14",1,"run10",4,"Nigeria","NGA.12_1",28074,28074,0,50.4666,201.9546,0,201.9546,26336,1738
"15",1,"run10",5,"Nigeria","NGA.12_1",28081,28081,0,50.337,252.2916,0,252.2916,26336,1745
"16",1,"run10",6,"Nigeria","NGA.12_1",28072,28072,0,50.3424,302.634,0,302.634,26336,1736
"17",1,"run10",7,"Nigeria","NGA.12_1",28036,28036,0,50.346,352.98,0,352.98,26336,1700
"18",1,"run10",8,"Nigeria","NGA.12_1",28103,28103,0,50.481,403.461,0,403.461,26336,1767
"19",1,"run10",9,"Nigeria","NGA.12_1",28123,28123,0,50.4648,453.9258,0,453.9258,26336,1787
"20",1,"run10",10,"Nigeria","NGA.12_1",28102,28102,0,50.4882,504.414,0,504.414,26336,1766
"21",1,"run11",1,"Nigeria","NGA.12_1",28279,28279,0,50.8734,50.8734,0,50.8734,26527,1752
"22",1,"run11",2,"Nigeria","NGA.12_1",28201,28201,0,50.67,101.5434,0,101.5434,26527,1674
"23",1,"run11",3,"Nigeria","NGA.12_1",28334,28334,0,50.94,152.4834,0,152.4834,26527,1807
"24",1,"run11",4,"Nigeria","NGA.12_1",28324,28324,0,50.7942,203.2776,0,203.2776,26527,1797
"25",1,"run11",5,"Nigeria","NGA.12_1",28341,28341,0,50.7654,254.043,0,254.043,26527,1814
"26",1,"run11",6,"Nigeria","NGA.12_1",28284,28284,0,50.7438,304.7868,0,304.7868,26527,1757
"27",1,"run11",7,"Nigeria","NGA.12_1",28328,28328,0,50.9544,355.7412,0,355.7412,26527,1801
"28",1,"run11",8,"Nigeria","NGA.12_1",28299,28299,0,50.8842,406.6254,0,406.6254,26527,1772
"29",1,"run11",9,"Nigeria","NGA.12_1",28309,28309,0,50.7816,457.407,0,457.407,26527,1782
"30",1,"run11",10,"Nigeria","NGA.12_1",28322,28322,0,50.85,508.257,0,508.257,26527,1795
"31",1,"run12",1,"Nigeria","NGA.12_1",28531,28531,0,51.1866,51.1866,0,51.1866,26706,1825
"32",1,"run12",2,"Nigeria","NGA.12_1",28557,28557,0,51.2406,102.4272,0,102.4272,26706,1851
"33",1,"run12",3,"Nigeria","NGA.12_1",28555,28555,0,51.1938,153.621,0,153.621,26706,1849
"34",1,"run12",4,"Nigeria","NGA.12_1",28513,28513,0,51.2082,204.8292,0,204.8292,26706,1807
"35",1,"run12",5,"Nigeria","NGA.12_1",28434,28434,0,50.9994,255.8286,0,255.8286,26706,1728
"36",1,"run12",6,"Nigeria","NGA.12_1",28627,28627,0,51.3288,307.1574,0,307.1574,26706,1921
"37",1,"run12",7,"Nigeria","NGA.12_1",28446,28446,0,51.138,358.2954,0,358.2954,26706,1740
"38",1,"run12",8,"Nigeria","NGA.12_1",28546,28546,0,51.2208,409.5162,0,409.5162,26706,1840
"39",1,"run12",9,"Nigeria","NGA.12_1",28353,28353,0,50.8212,460.3374,0,460.3374,26706,1647
"40",1,"run12",10,"Nigeria","NGA.12_1",28546,28546,0,51.0858,511.4232,0,511.4232,26706,1840
"41",1,"run13",1,"Nigeria","NGA.12_1",28664,28664,0,51.462,51.462,0,51.462,26875,1789
"42",1,"run13",2,"Nigeria","NGA.12_1",28593,28593,0,51.3018,102.7638,0,102.7638,26875,1718
"43",1,"run13",3,"Nigeria","NGA.12_1",28696,28696,0,51.4566,154.2204,0,154.2204,26875,1821
"44",1,"run13",4,"Nigeria","NGA.12_1",28697,28697,0,51.5034,205.7238,0,205.7238,26875,1822
"45",1,"run13",5,"Nigeria","NGA.12_1",28654,28654,0,51.4602,257.184,0,257.184,26875,1779
"46",1,"run13",6,"Nigeria","NGA.12_1",28700,28700,0,51.2982,308.4822,0,308.4822,26875,1825
"47",1,"run13",7,"Nigeria","NGA.12_1",28584,28584,0,51.354,359.8362,0,359.8362,26875,1709
"48",1,"run13",8,"Nigeria","NGA.12_1",28668,28668,0,51.5052,411.3414,0,411.3414,26875,1793
"49",1,"run13",9,"Nigeria","NGA.12_1",28595,28595,0,51.273,462.6144,0,462.6144,26875,1720
"50",1,"run13",10,"Nigeria","NGA.12_1",28590,28590,0,51.246,513.8604,0,513.8604,26875,1715
"51",1,"run14",1,"Nigeria","NGA.12_1",28871,28871,0,51.7554,51.7554,0,51.7554,27034,1837
"52",1,"run14",2,"Nigeria","NGA.12_1",28849,28849,0,51.8112,103.5666,0,103.5666,27034,1815
"53",1,"run14",3,"Nigeria","NGA.12_1",28830,28830,0,51.7176,155.2842,0,155.2842,27034,1796
"54",1,"run14",4,"Nigeria","NGA.12_1",28817,28817,0,51.7536,207.0378,0,207.0378,27034,1783
"55",1,"run14",5,"Nigeria","NGA.12_1",28812,28812,0,51.732,258.7698,0,258.7698,27034,1778
"56",1,"run14",6,"Nigeria","NGA.12_1",28912,28912,0,51.894,310.6638,0,310.6638,27034,1878
"57",1,"run14",7,"Nigeria","NGA.12_1",28789,28789,0,51.7014,362.3652,0,362.3652,27034,1755
"58",1,"run14",8,"Nigeria","NGA.12_1",28918,28918,0,51.9138,414.279,0,414.279,27034,1884
"59",1,"run14",9,"Nigeria","NGA.12_1",28864,28864,0,51.8112,466.0902,0,466.0902,27034,1830
"60",1,"run14",10,"Nigeria","NGA.12_1",28967,28967,0,51.9246,518.0148,0,518.0148,27034,1933
"61",1,"run15",1,"Nigeria","NGA.12_1",29041,29041,0,52.137,52.137,0,52.137,27186,1855
"62",1,"run15",2,"Nigeria","NGA.12_1",29065,29065,0,52.272,104.409,0,104.409,27186,1879
"63",1,"run15",3,"Nigeria","NGA.12_1",29001,29001,0,52.0758,156.4848,0,156.4848,27186,1815
"64",1,"run15",4,"Nigeria","NGA.12_1",28988,28988,0,52.0668,208.5516,0,208.5516,27186,1802
"65",1,"run15",5,"Nigeria","NGA.12_1",29060,29060,0,52.1568,260.7084,0,260.7084,27186,1874
"66",1,"run15",6,"Nigeria","NGA.12_1",28986,28986,0,52.0776,312.786,0,312.786,27186,1800
"67",1,"run15",7,"Nigeria","NGA.12_1",29021,29021,0,51.921,364.707,0,364.707,27186,1835
"68",1,"run15",8,"Nigeria","NGA.12_1",29069,29069,0,52.0776,416.7846,0,416.7846,27186,1883
"69",1,"run15",9,"Nigeria","NGA.12_1",29055,29055,0,52.047,468.8316,0,468.8316,27186,1869
"70",1,"run15",10,"Nigeria","NGA.12_1",29010,29010,0,52.0164,520.848,0,520.848,27186,1824
"71",1,"run16",1,"Nigeria","NGA.12_1",29161,29161,0,52.3404,52.3404,0,52.3404,27331,1830
"72",1,"run16",2,"Nigeria","NGA.12_1",29147,29147,0,52.335,104.6754,0,104.6754,27331,1816
"73",1,"run16",3,"Nigeria","NGA.12_1",29163,29163,0,52.3782,157.0536,0,157.0536,27331,1832
"74",1,"run16",4,"Nigeria","NGA.12_1",29146,29146,0,52.3296,209.3832,0,209.3832,27331,1815
"75",1,"run16",5,"Nigeria","NGA.12_1",29204,29204,0,52.3764,261.7596,0,261.7596,27331,1873
"76",1,"run16",6,"Nigeria","NGA.12_1",29193,29193,0,52.425,314.1846,0,314.1846,27331,1862
"77",1,"run16",7,"Nigeria","NGA.12_1",29110,29110,0,52.3008,366.4854,0,366.4854,27331,1779
"78",1,"run16",8,"Nigeria","NGA.12_1",29135,29135,0,52.1892,418.6746,0,418.6746,27331,1804
"79",1,"run16",9,"Nigeria","NGA.12_1",29147,29147,0,52.3728,471.0474,0,471.0474,27331,1816
"80",1,"run16",10,"Nigeria","NGA.12_1",29088,29088,0,52.1352,523.1826,0,523.1826,27331,1757
"81",1,"run17",1,"Nigeria","NGA.12_1",29341,29341,0,52.767,52.767,0,52.767,27471,1870
"82",1,"run17",2,"Nigeria","NGA.12_1",29258,29258,0,52.3854,105.1524,0,105.1524,27471,1787
"83",1,"run17",3,"Nigeria","NGA.12_1",29304,29304,0,52.6338,157.7862,0,157.7862,27471,1833
"84",1,"run17",4,"Nigeria","NGA.12_1",29477,29477,0,52.8192,210.6054,0,210.6054,27471,2006
"85",1,"run17",5,"Nigeria","NGA.12_1",29309,29309,0,52.7022,263.3076,0,263.3076,27471,1838
"86",1,"run17",6,"Nigeria","NGA.12_1",29350,29350,0,52.677,315.9846,0,315.9846,27471,1879
"87",1,"run17",7,"Nigeria","NGA.12_1",29376,29376,0,52.74,368.7246,0,368.7246,27471,1905
"88",1,"run17",8,"Nigeria","NGA.12_1",29362,29362,0,52.74,421.4646,0,421.4646,27471,1891
"89",1,"run17",9,"Nigeria","NGA.12_1",29391,29391,0,52.7652,474.2298,0,474.2298,27471,1920
"90",1,"run17",10,"Nigeria","NGA.12_1",29328,29328,0,52.704,526.9338,0,526.9338,27471,1857
"91",1,"run18",1,"Nigeria","NGA.12_1",29496,29496,0,53.082,53.082,0,53.082,27605,1891
"92",1,"run18",2,"Nigeria","NGA.12_1",29529,29529,0,52.983,106.065,0,106.065,27605,1924
"93",1,"run18",3,"Nigeria","NGA.12_1",29535,29535,0,52.974,159.039,0,159.039,27605,1930
"94",1,"run18",4,"Nigeria","NGA.12_1",29509,29509,0,53.0748,212.1138,0,212.1138,27605,1904
"95",1,"run18",5,"Nigeria","NGA.12_1",29463,29463,0,52.7472,264.861,0,264.861,27605,1858
"96",1,"run18",6,"Nigeria","NGA.12_1",29435,29435,0,52.7724,317.6334,0,317.6334,27605,1830
"97",1,"run18",7,"Nigeria","NGA.12_1",29521,29521,0,53.064,370.6974,0,370.6974,27605,1916
"98",1,"run18",8,"Nigeria","NGA.12_1",29475,29475,0,52.8192,423.5166,0,423.5166,27605,1870
"99",1,"run18",9,"Nigeria","NGA.12_1",29386,29386,0,52.7922,476.3088,0,476.3088,27605,1781
"100",1,"run18",10,"Nigeria","NGA.12_1",29457,29457,0,52.848,529.1568,0,529.1568,27605,1852
"101",1,"run19",1,"Nigeria","NGA.12_1",29656,29656,0,53.271,53.271,0,53.271,27734,1922
