"rID","GID_0","COUNTRY","GID_1","NAME_1","incidence_no_rev","incidence_rev","Population","Population_raster","no_reversion_incidence_raster","reversion_incidence_raster","Endemic","Status","cStatus","Year","Ranking","vacFrac_reac","vacFrac_prev_0","vacFrac_prev_1","vacFrac_prev_2"
5,"NGA","Nigeria","NGA.5_1","Bauchi",51353.08097,123514.9029,7049452.953,7042475.568,50912.06959,122453.9054,"High","Endemic","High endemic country Endemic State",1,1,0.0018,"0.165","0.165","0.165"
11,"NGA","Nigeria","NGA.11_1","Ebonyi",20835.95558,50139.26631,3020589.264,3104808.444,21442.5382,51599.20561,"High","Endemic","High endemic country Endemic State",1,1,0.0018,"0.165","0.165","0.165"
12,"NGA","Nigeria","NGA.12_1","Edo",30242.22962,72788.40062,4674667.602,4581567.776,30751.5993,74014.3465,"High","Endemic","High endemic country Endemic State",1,1,0.0018,"0.165","0.165","0.165"
26,"NGA","Nigeria","NGA.26_1","Nasarawa",24499.68767,58873.25797,2757803.1,2705208.327,24727.60157,59422.95358,"High","Endemic","High endemic country Endemic State",1,1,0.0018,"0.165","0.165","0.165"
29,"NGA","Nigeria","NGA.29_1","Ondo",31344.48828,75451.89206,5019493.448,5037280.204,29893.86523,71959.62748,"High","Endemic","High endemic country Endemic State",1,1,0.0018,"0.165","0.165","0.165"
32,"NGA","Nigeria","NGA.32_1","Plateau",38506.29117,92571.2475,4618294.23,4633009.267,38565.12638,92713.22391,"High","Endemic","High endemic country Endemic State",1,1,0.0018,"0.165","0.165","0.165"
35,"NGA","Nigeria","NGA.35_1","Taraba",22779.76302,54810.81922,3319142.343,3294801.6,22617.6232,54421.04211,"High","Endemic","High endemic country Endemic State",1,1,0.0018,"0.165","0.165","0.165"
1,"NGA","Nigeria","NGA.1_1","Abia",26736.84227,64352.3732,4147026.404,4075864.292,26746.42299,64376.32193,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
2,"NGA","Nigeria","NGA.2_1","Adamawa",28529.19741,68673.27217,4533942.276,4545536.401,28161.9749,67789.67418,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
3,"NGA","Nigeria","NGA.3_1","Akwa Ibom",34370.04487,82749.00313,5809936.014,5899653.442,33919.08327,81663.46888,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
4,"NGA","Nigeria","NGA.4_1","Anambra",38522.11248,92718.21085,5911214.251,5889278.211,37703.70861,90748.31931,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
6,"NGA","Nigeria","NGA.6_1","Bayelsa",14561.26954,35060.7933,2556586.747,2526141.179,14315.26567,34468.33552,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
7,"NGA","Nigeria","NGA.7_1","Benue",41691.20629,100332.3256,6180924.006,6193961.873,42179.29292,101505.9179,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
8,"NGA","Nigeria","NGA.8_1","Borno",38411.76827,92470.16535,6365435.961,6432925.176,39844.35544,95881.46223,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
9,"NGA","Nigeria","NGA.9_1","Cross River",26871.43483,64676.02409,4188279.37,4155875.312,24887.60452,59901.95433,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
10,"NGA","Nigeria","NGA.10_1","Delta",37648.77055,90632.7314,6154293.564,6109262.085,37951.72923,91362.29209,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
13,"NGA","Nigeria","NGA.13_1","Ekiti",21328.20676,51338.9347,3366418.772,3490383.385,22157.75069,53335.98254,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
14,"NGA","Nigeria","NGA.14_1","Enugu",30345.59543,73037.52772,4649202.27,4670812.972,31236.51582,75181.77943,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
15,"NGA","Nigeria","NGA.15_1","Federal Capital Territory",30498.7428,73388.08496,4407513.833,4452198.169,30009.09082,72209.0915,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
16,"NGA","Nigeria","NGA.16_1","Gombe",28660.63554,68909.04458,3566028.515,3576002.207,29001.26885,69728.1794,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
17,"NGA","Nigeria","NGA.17_1","Imo",37744.0033,90837.05965,5705934.006,5836879.973,38599.59731,92896.61968,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
18,"NGA","Nigeria","NGA.18_1","Jigawa",36324.54728,87458.00217,6218611.679,6258830.71,36421.28056,87690.88439,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
19,"NGA","Nigeria","NGA.19_1","Kaduna",75910.93117,182461.6943,8994614.848,8959024.896,75605.77713,181725.3549,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
20,"NGA","Nigeria","NGA.20_1","Kano",83112.31982,200107.0831,14235173.77,14260850.93,83295.89237,200548.5462,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
21,"NGA","Nigeria","NGA.21_1","Katsina",49514.60741,119215.255,8479744.254,8463157.156,49865.03099,120058.8811,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
22,"NGA","Nigeria","NGA.22_1","Kebbi",28812.83068,69366.4053,4796505.852,4819427.089,28904.59464,69587.226,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
23,"NGA","Nigeria","NGA.23_1","Kogi",29872.12969,71910.46277,4840035.56,4827934.164,30285.06903,72904.69249,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
24,"NGA","Nigeria","NGA.24_1","Kwara",21210.87097,51061.05324,3450858.79,3426085.219,22100.02793,53200.90445,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
25,"NGA","Nigeria","NGA.25_1","Lagos",79083.06598,190397.1786,13302388.16,13564541.6,74234.98223,178725.1286,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
27,"NGA","Nigeria","NGA.27_1","Niger",36589.51492,88086.23111,6034158.295,6058400.589,37408.16105,90057.07817,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
28,"NGA","Nigeria","NGA.28_1","Ogun",35955.75101,86560.07385,5917656.289,5695188.29,40892.26826,98444.75381,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
30,"NGA","Nigeria","NGA.30_1","Osun",32078.04512,77218.14186,5135601.494,5093119.335,31828.77678,76618.45742,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
31,"NGA","Nigeria","NGA.31_1","Oyo",51521.95308,124033.8182,8468359.964,8461533.376,51852.31802,124829.134,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
33,"NGA","Nigeria","NGA.33_1","Rivers",43565.32343,104885.6899,7323067.771,7520514.003,42489.41467,102295.4073,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
34,"NGA","Nigeria","NGA.34_1","Sokoto",31897.90116,76800.17858,5464410.293,5447939.19,31744.08761,76414.7984,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
36,"NGA","Nigeria","NGA.36_1","Yobe",20870.2546,50249.1205,3582501.914,3599924.036,20747.88501,49950.69172,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
37,"NGA","Nigeria","NGA.37_1","Zamfara",28385.86633,68341.88469,4810783.489,4828009.087,28685.85393,69064.10763,"High","Non-endemic","High endemic country Non-endemic State",1,1,0.0018,"0.015","0.015","0.015"
