"rID","GID_0","COUNTRY","GID_1","NAME_1","Year","incid...7","incid...8","incid...9","incid...10","incid...11","incid...12","incid...13","incid...14","incid...15","incid...16","incid...17","incid...18","incid...19","incid...20","incid...21","incid...22","incid...23","incid...24","incid...25","incid...26","incid...27","incid...28","incid...29","incid...30","incid...31","incid...32","incid...33","incid...34","incid...35","incid...36","incid...37","incid...38","incid...39","incid...40","incid...41","incid...42","incid...43","incid...44","incid...45","incid...46","incid...47","incid...48","incid...49","incid...50","incid...51","incid...52","incid...53","incid...54","incid...55","incid...56","incid...57","incid...58","incid...59","incid...60","incid...61","incid...62","incid...63","incid...64","incid...65","incid...66","incid...67","incid...68","incid...69","incid...70","incid...71","incid...72","incid...73","incid...74","incid...75","incid...76","incid...77","incid...78","incid...79","incid...80","incid...81","incid...82","incid...83","incid...84","incid...85","incid...86","incid...87","incid...88","incid...89","incid...90","incid...91","incid...92","incid...93","incid...94","incid...95","incid...96","incid...97","incid...98","incid...99","incid...100","incid...101","incid...102","incid...103","incid...104","incid...105","incid...106"
1,"NGA","Nigeria","NGA.1_1","Abia",1,30059.921488893,28266.0895291932,30014.8876599546,29031.7407039376,24745.8440034639,29006.9915091727,26450.1420765172,26344.6983359733,26895.4078127583,26879.7901257526,25380.182970543,23440.2828061092,31189.8849841101,27106.901671858,31573.5975012983,21993.4924840753,25596.0032789249,25907.9406209637,21465.1789527481,29358.3691547139,35342.1562682075,30300.4636688403,26627.734639152,26524.4743625687,23216.3473843254,30507.9561473539,27242.4073544754,26168.683116275,21539.3427997677,27861.5281538257,23709.3993708043,26253.8119618632,29143.2335934306,29375.0571575115,29198.0207373952,26540.5162895718,23561.6100558527,27853.9721745804,24915.5680892208,27439.3798655303,34859.0954352302,30584.6788750255,24141.920559623,27507.0865889957,28436.6569751474,23901.4270455694,25698.9756410227,28282.146702182,30862.3728534745,24767.4353968788,29086.6202599105,24659.1277629208,23619.5050860042,26200.0615056246,28190.4122002403,31365.598544398,23670.6218108864,24325.7248142903,26465.7935345952,25622.659085432,25398.2501256962,29468.6750392304,25659.9458979582,24163.865532336,27519.210574244,30317.5215922721,25590.3079412231,31387.3532847889,27430.3207652587,24850.9337672043,30625.7234567837,25118.6999616106,30449.7899916722,32352.6358880298,25401.0183147822,29239.2651566981,22458.4948513375,27491.2883444173,21081.6729160861,26188.6996169375,21209.0422380305,23681.0832391873,29652.8007455893,33928.1016184263,33126.6746220619,27419.1338606939,19767.879460726,32342.5522033241,22216.291820398,24393.2878231889,26708.2629597168,24361.9008899133,23621.1800980353,25282.5380426244,29624.7873133033,22795.0153557682,27773.0983132454,23137.589748903,24985.4050986665,26464.8678945391
2,"NGA","Nigeria","NGA.2_1","Adamawa",1,28947.5088053408,28539.171795063,31996.6818117501,29652.9209089637,21979.0789147483,30351.7863268015,30462.8046992792,22645.3765820579,26636.4817601433,27174.6651645748,34038.4023028803,31954.0777277221,33075.6620237474,32965.5385508821,27364.4166189268,31900.4192895216,28142.2659079329,30700.936890023,24860.3848516636,25467.8572896344,27502.3998239475,35002.1200970359,28222.4684265952,26276.638083838,30862.2737202624,30750.5616086943,32244.90278906,24727.8068717292,31297.8827958529,27620.9738893992,29979.993393516,29492.0525247968,30255.5101636685,27134.4603816058,33613.7475317765,24619.8210609789,29729.1425454015,27457.2707292998,26410.8327205111,29661.1656557883,33709.3908741803,33457.5804221997,35119.9604886445,26974.0446789972,24366.1988262032,29977.0205509101,31141.8168496921,29451.4089035415,28622.4831230671,32392.1894045925,29023.142859653,24793.2968892908,29777.6557339364,30689.4465492095,25617.9979551958,25723.0368269898,32177.6892428262,23692.0708269438,26986.7232365944,32891.7546857242,26404.8037551819,26538.6568568581,26174.0127920499,31227.1147781958,25039.506197693,32053.8838282727,26774.0535588675,26193.8688404524,23411.0964453078,24933.6913142883,23676.1210464337,25444.4430449024,24141.876964259,25903.8388909875,28090.828982483,23007.7944532498,29281.6584133401,33233.008299997,24469.7184139848,30576.9651028075,29835.0243072307,27089.2908515396,24056.3714193062,30648.6397634737,25736.1619902112,25139.3515218779,26376.8252515294,26349.9922759813,26299.4559303817,26576.2688598651,22604.8367605951,32331.8781560111,30613.1130114043,26034.9801833512,30782.7151798509,32038.7474563362,27111.4559943059,29880.514358839,32928.9056817591,30217.3005268487
3,"NGA","Nigeria","NGA.3_1","Akwa Ibom",1,31883.5055015893,30013.0865570035,33956.0539344337,27478.8592351805,39565.432509575,35317.6826512839,28553.4074285033,33700.1957440448,34410.6034352808,33117.6440295306,31592.8322294262,38416.715396682,27714.9730404404,34137.8076878175,40462.8591765901,31686.5583860342,33898.107187938,32667.9142305902,32537.3139395868,39016.0115487236,29660.7846333129,35125.4860862182,40899.9247129852,31305.7764916603,29967.9837937284,27642.6170814334,38034.2416026949,33882.6747356183,50910.3835831893,35865.4181079895,27568.2416668221,35032.2112729368,31200.4869573163,35118.2063864957,33380.1069539942,31780.2106470591,30214.8892123483,38678.9969795985,37468.3099116366,33682.0758520081,30396.7764662176,36317.2842142211,31277.640286338,39147.196355831,30917.4496728609,31953.0756691674,34289.0308939986,39394.2104961495,34352.2292114353,24190.0094806977,27384.8952973806,43905.9221383227,34927.1934573298,44692.8190962227,30210.5027804974,29137.3252518354,39661.7095570831,33819.3580042089,37105.8554656148,27255.4190118181,39527.935582996,33308.0445710449,37643.4123352026,24801.9877918653,31536.9018645137,34469.6605315559,29920.8072073495,41894.6496640805,24176.2610202202,35460.6468911623,25123.2680854377,41061.917896655,35732.4416116166,31323.5964466893,30096.6404268909,31609.0364447689,34354.5018644542,33424.5905221092,31766.0561619316,30934.3414986336,36670.3960086514,41805.1747276023,28015.0119029875,31995.4796089276,31054.3273651368,38694.4836693664,36520.7715732956,42050.0077428195,35798.4979495079,34084.6299526775,35361.556214487,36261.799073741,33176.2957407944,40999.1986491749,34795.6151269136,39282.7450889614,37573.0419229279,28821.6889258547,29569.0545615335,32266.4791466199
4,"NGA","Nigeria","NGA.4_1","Anambra",1,36667.5122430246,38655.4968029929,35928.3784117006,36170.267664064,32996.366031599,40089.2558267767,35289.5147395962,34313.5078506602,39579.9827460277,35063.4746714277,33396.9107367441,39089.6754923536,47547.771267388,39548.1030977724,38874.9332885678,35912.445083218,34385.6236502811,46055.6986947359,37835.7328842875,36921.6273590233,40037.3151198135,39226.5410655164,36153.5173013235,34389.1497661777,41697.4143001514,36887.3226862147,51641.1296622124,40053.1081618256,33036.9155166153,45766.5028394041,44664.4357019718,44134.9787652431,30195.8003981506,34074.2751623638,44192.4471821569,41462.9080791865,36319.6991443891,37605.2928232502,40004.3681270308,39125.8471978187,35355.223672538,48859.5420958302,40337.8117953298,42216.7864942604,33672.4081337114,36522.8312963457,40054.0511193638,37436.6761490943,36085.3656878065,30049.2191859411,41674.5723575836,35074.2160296445,34761.4690042379,38273.4347639485,37824.6865510136,39208.3299848409,29545.8562237754,39192.7194940898,38529.4906040734,33698.4112872957,40686.6310162029,35483.8054521773,43861.4596188628,37255.5691239684,38589.0775601238,38748.0107616479,48769.4993940097,36233.0276469827,37526.6579170772,42620.8646905435,32537.0140429374,38348.5763416929,35480.0549998642,29752.5592735023,41076.1489655035,33749.351852126,38286.9062849175,33871.7126473677,36359.8671345052,41004.4783142512,38604.357969302,30499.7272575767,34713.7071005152,32467.095712494,36338.320535379,37782.4046106222,38356.9581330484,38277.6718657225,37952.7823631532,41279.9116136153,39159.128809776,40013.8988748908,44421.4644136531,38214.6407808662,39877.7620111717,35648.1828692593,37474.9140280621,39433.4509217746,46095.0262278965,34232.9956385382
5,"NGA","Nigeria","NGA.5_1","Bauchi",1,44645.7449703583,58559.1302610379,47103.3555850446,44657.5374244,60944.269898264,45154.8653790628,58979.9198242368,47938.4715404484,49197.1560928147,49468.1240523333,52268.2620988767,45656.0779556114,61655.7868434718,51127.699657233,46530.2470288763,58594.7061393871,57884.9407842131,37022.7285788927,53165.6195715918,53627.7631586762,56207.2251875393,64836.4847768682,59811.8384204985,63726.9659100202,54140.1974690042,52866.5919252973,50385.5812676421,56703.6546424724,51582.7125053402,54304.213710839,59496.0651452733,56477.2566594365,42589.6205858714,56013.3487820763,44092.4537930746,48240.4695447097,46919.2114270659,49996.2050064644,47008.8813809354,47819.7304948629,52059.8007935906,57202.8595661891,49661.4987047709,47816.2363459785,56449.8511508365,47913.1704787161,49673.5665718827,57566.5078930293,50653.3935857114,49228.1823271605,54426.5345571163,44315.7457553466,48575.3594464327,47132.2929582796,57999.0750484325,44976.9454159479,50038.1662264594,54879.4193561707,45417.0775688346,50605.893918285,53205.3630367987,51143.5745345824,52957.2279911761,60453.4399112704,46395.1364258137,52774.8148689955,54848.6989963882,50766.910420724,52756.7652479534,49512.2668459367,49879.2109373194,46368.9301097694,41606.9970982449,45835.3006088365,41776.2348058855,59259.7948640127,56058.7324301062,39262.2500791891,43044.4761430186,48227.5350491357,52928.0400649553,45214.1597565476,49025.6854509187,40215.4704887676,53674.1507756332,52711.6729635384,58234.1119948136,49182.072334331,50690.2201893694,53662.9587871817,45288.6669953266,51657.3071923921,54816.4871961914,51450.742263156,54324.3858008095,61489.6742878097,55637.8097679796,39837.1335029923,56488.0367217123,49545.1287115427
6,"NGA","Nigeria","NGA.6_1","Bayelsa",1,14925.3816582752,13115.1604390907,11918.8976280066,13084.3248746883,14125.2762123872,12600.0687324457,14083.0230708645,15601.1732431546,18503.274283662,13121.7359557944,14030.1520505609,14886.2595039509,14624.7556960563,13726.0216022892,10686.1796782402,14202.8000391828,15512.1215292249,11655.6429899341,15051.2249383032,10148.5362331101,14049.391757419,11095.1343365484,13236.6961486196,11753.8733762894,14754.1862853587,15015.4989876773,15779.4532680662,15520.6751313163,16700.4885755139,14011.9549410889,15014.9376380657,14387.6619540202,12859.5018727687,14015.2354586895,12672.2036492589,15712.0653560636,15876.9444144343,16142.8944287938,16918.2375613428,13502.0498870293,17348.5781763889,17150.7390741308,13264.1315090548,14480.3476286877,15323.6438695203,12150.0953859223,10096.2090879223,12816.7156771305,13648.48160624,13078.2872110636,14795.6633536199,14061.5116908839,17272.5445257845,16777.5150080021,13328.0838225213,13799.3141422099,15044.3922860419,11959.0780227998,15336.0845989247,15517.1853315258,13442.4848057455,14847.4653504333,13546.8433634031,13350.4628795664,16941.7247043577,14361.0646288602,11164.7265973669,13270.6216543652,14573.2134815949,15916.8315405479,12086.6284007883,14023.1238097662,15977.632596519,18856.5420673821,16543.4254417096,11287.8538094761,14152.9563846504,13293.7702221418,13909.5227975284,14710.4868918303,13504.8400476972,14627.142573694,12676.5252935443,13321.3536853573,18549.5507228986,12508.8517910875,13464.3014744325,14403.3242150261,14413.5275758666,14845.8953742384,16123.1749368733,15094.6895933397,10156.2742729986,14739.1978986334,12390.2441532591,15723.7775288381,17106.1492580613,13911.6750662515,14975.5970743303,14039.2610097209
7,"NGA","Nigeria","NGA.7_1","Benue",1,41879.5210775418,45648.4970542906,47549.5932270533,37492.3394072835,37412.86609715,46571.5979973524,46167.2560448354,48416.0168988194,43003.3587031822,46404.5366293027,35458.8446176871,42023.678818689,39918.9586853121,46207.7569454391,44168.8371256509,43019.8300641026,42047.2303053675,36215.2989891351,40532.0300757433,37923.9402323588,46172.524093724,48723.1837811016,43627.1416993102,43399.192630749,50701.1880684769,41461.9612037754,39094.741892607,35367.6379290749,47227.1297375879,41182.0446660091,41069.6025209304,36317.74322493,47486.3480945756,47968.5074067727,42063.2481653257,35585.1054062578,46205.3858963642,42894.2840260032,36815.0974620978,45194.6301340618,40419.7150410795,38479.8362103159,42906.6720344697,40306.1692982598,37951.2824218543,47696.8640965129,46495.9672061703,40118.2942763285,30427.8903448646,46192.2831164499,46073.8969144482,41579.4236141727,39294.5617637413,40768.1951552039,37354.7660156758,40071.9596259365,48649.6089474126,40709.8272026561,45480.2358436525,32581.2566350285,28614.6448989926,38964.0713931301,43630.2129127837,47220.3287408274,50681.9750431011,46831.848278158,39590.0528514195,38693.3928476433,45589.6222407138,44430.3379056896,45199.876996146,43016.6503450948,35882.5835994187,44020.3332389791,39814.5941251834,41243.8187716193,41371.2429488839,41876.2374682569,44168.2471830265,48262.5415160744,40897.4867385974,43183.625311896,51880.2563640818,36321.5918903125,52845.4673738842,49048.4327242285,44095.7804381119,37134.4866671564,49897.1289275554,48769.2338765973,36025.778938131,36563.3567723377,45730.8232576893,41740.7630056265,40849.735794516,38010.740407488,35320.5555768365,43701.9029183293,44914.2590476836,45717.3786638157
8,"NGA","Nigeria","NGA.8_1","Borno",1,41248.8486372218,43588.1539838714,53013.1419274003,44808.8270869195,53009.3725201933,40030.0776911604,43493.791971038,36291.2892477923,33372.4756835015,35518.611396194,49686.0892608128,43162.9815116598,43405.142135289,36261.0868024493,32821.7091620776,40551.0898578304,42599.9046259786,37234.6231633237,40358.0099140596,44810.234560912,54030.2924001109,46152.7169729607,36376.4404782724,38930.1926045165,45955.2860280913,33331.8535770744,47768.3582113406,40927.0272809749,35605.6057035731,35774.0038476355,44664.7003180152,35900.682397991,38583.7954326394,42947.5589108867,32785.0233489536,41879.6284633857,35270.8872067522,38341.0387434696,39257.1499927653,49253.2139279326,42775.0630875946,31704.7022748161,26129.7237703783,32082.1947284314,47129.7726573925,40201.0504450575,36920.0348747727,31834.5035741272,41152.7038845844,41002.0781685619,35378.2910169893,53510.8911726791,46772.739917313,38828.2053681239,38427.0730282845,40375.7895637226,40309.9268693997,41375.0099173525,34140.0146984648,37358.5513202899,33821.447139707,34780.1852828814,38431.1681190694,41251.5249052671,39636.5053448544,38700.5989795547,35626.2935559503,44011.8233528637,38341.475266882,40273.1223050116,42971.3333513509,50624.8440412793,40303.2480130004,35144.308986751,32840.4093097289,44802.6097136394,32543.5513666238,39501.831383654,34151.0662020806,44420.2772030262,51123.298432176,48333.1040070351,34207.5879767409,39273.9237162397,46699.2825554413,51711.4434424432,45390.9255712469,32854.2112923041,40678.6830081582,43627.7465607219,40436.8634114553,48922.6870228416,36603.4628985114,42353.86788275,46673.159062161,31799.9901322058,36552.209315755,37921.2289043606,36589.0852575957,39385.7921312909
9,"NGA","Nigeria","NGA.9_1","Cross River",1,26078.0153149263,26924.5785458454,23995.4742882389,24887.2957278835,25060.0132192759,24017.4319510648,28161.1630482638,25921.7928936237,25537.8528415798,27924.912760398,28212.041425483,23789.8042703877,26691.9605811981,26231.1317032446,24231.2173597522,28722.3356850876,26542.7754599215,25752.2309166486,17192.8971828376,19750.0911279027,29176.9369419776,25101.9664289661,29054.8024109707,23177.8179915236,25733.1108815517,25646.9755874137,21642.5215674464,28679.4714745032,25536.5088243983,24998.870146163,25431.8081989883,23228.5503994565,22200.9058682166,28706.9944938098,27920.524486429,26826.8925822282,23661.8654120744,30300.8410749085,22408.0691326853,24265.8077790787,24705.178645787,26167.2476541345,25683.8868472808,21947.3421480705,25775.0699167904,23612.3594905207,27376.2260487429,20559.6675366053,28921.5187676105,24980.2615516709,20851.3464748046,26640.2849793174,26087.7451354286,22325.8910567043,27271.3011437698,22178.5838329045,26517.2745598323,20746.0574933655,22625.1322486593,25692.8541944682,17461.5590744528,26902.8268721762,26693.7632735711,23773.5359804582,18676.7284430099,30382.1771679587,28658.3879479686,28497.3882254494,27290.7008459296,23430.8433515378,24523.9684663131,27535.7505366727,21333.0503589178,27414.9998932033,22577.0288307014,21312.3564819707,24595.8141110602,23744.358950433,26201.6816951629,26903.757510795,27482.4333149308,26596.1392290739,23911.6117186403,21758.1080135796,28977.4389545948,26118.6467913826,20119.8066815109,25497.5402995348,25519.1290899105,26415.0732297337,27096.8685877115,32130.5756929635,28633.0081882617,30779.6635679578,30678.3800740433,25034.2415797568,20177.6833070189,23604.8892300132,24534.6467905301,23920.348965517
10,"NGA","Nigeria","NGA.10_1","Delta",1,32067.4426930419,46516.9788216237,37084.4711106705,34877.1124750734,45162.3208794393,42924.493135981,34797.0015303651,38432.4422527719,36062.1146900104,42543.485805003,39098.5098716112,35609.8047154783,37605.2350188556,29914.9684137822,42576.323679141,42611.2117088631,34914.7377473854,37223.081592947,42950.8771351593,34311.2345981879,46081.0501743345,41324.9466599149,40256.0209698983,47701.5152341903,44202.0679395924,35702.9438848624,41914.2119494356,38697.579130595,33088.3943539566,46481.1840662305,45902.7618441985,40474.5211449249,43622.0915059906,39093.6171880172,38074.6180014512,37402.0422252133,32456.2858857629,40028.4473988206,45223.7518603357,29089.2339750487,33683.3397276225,33736.9010740661,37705.9891389637,34800.3518108143,34286.8154625594,36054.3587949461,30409.4882644298,29786.4421706054,37269.2489501233,42069.2898546347,39090.0239194652,41518.8952035649,44045.0710300099,48917.7067489331,32809.2724592793,51074.4488195479,39294.8977700034,38346.8488593064,37672.0895918536,36772.8072948934,31022.096170711,40956.7522997565,32209.0468491085,39527.8481174612,39720.8994493837,31906.3466210588,44992.9257285649,39006.5523500151,36057.2780725956,28086.6185150188,29441.4527787821,36906.5201152609,30177.7134445314,38257.828142627,29803.0076397669,43955.7281918544,45582.50606577,30792.0081188122,30837.910983456,42859.8256626302,32558.7150688966,38706.5894521728,40408.1653597867,45347.1548310479,41642.8695773756,34811.0889758074,35774.5914681965,46966.7121917781,40501.986989864,34572.3360928081,38332.9026491015,40539.9543082394,35947.9452587719,45771.1507910182,42318.4310951525,28538.1508175153,41632.6862628597,40144.510499058,41659.9153208202,35555.2875800659
