"","Country","District","Population"
"1","Sierra Leone","KAILAHUN","526379"
"2","Sierra Leone","KENEMA","609891"
"3","Sierra Leone","KONO","506100"
"4","Sierra Leone","BOMBALI","606544"
"5","Sierra Leone","KOINADUGU","409372"
"6","Sierra Leone","TONKOLILI","531435"
"7","Sierra Leone","KAMBIA","345474"
"8","Sierra Leone","PORT LOKO","615376"
"9","Sierra Leone","BO","575478"
"10","Sierra Leone","BONTHE","200781"
"11","Sierra Leone","MOYAMBA","318588"
"12","Sierra Leone","PUJEHUN","346461"
"13","Sierra Leone","WESTERN","1500234"
"14","Guinea","BEYLA","325482"
"15","Guinea","BOFFA","211063"
"16","Guinea","BOKE","449405"
"17","Guinea","CONAKRY","1667864"
"18","Guinea","COYAH","264164"
"19","Guinea","DABOLA","182951"
"20","Guinea","DALABA","136320"
"21","Guinea","DINGUIRAYE","195662"
"22","Guinea","DUBREKA","328418"
"23","Guinea","FARANAH","280511"
"24","Guinea","FORECARIAH","244649"
"25","Guinea","FRIA","96527"
"26","Guinea","GUECKEDOU","291823"
"27","Guinea","KANKAN","472112"
"28","Guinea","KEROUANE","211017"
"29","Guinea","KINDIA","438315"
"30","Guinea","KISSIDOUGO","283609"
"31","Guinea","KOUROUSSA","268224"
"32","Guinea","LOLA","175213"
"33","Guinea","MACENTA","298282"
"34","Guinea","MALI","290320"
"35","Guinea","N'ZEREKORE","396118"
"36","Guinea","PITA","277059"
"37","Guinea","SIGUIRI","695449"
"38","Guinea","TELIMELE","283639"
"39","Guinea","TOUGUE","122959"
"40","Guinea","YOMOU","176664"
"41","Liberia","BOMI","139287.0287"
"42","Liberia","BONG","366631.9345"
"43","Liberia","GBARPOLU","107366.3534"
"44","Liberia","GRAND BASSA","238935.5107"
"45","Liberia","GRAND CAPE MOUNT","156166.8096"
"46","Liberia","GRAND GEDEH","164381.2639"
"47","Liberia","GRAND KRU","60780.8213"
"48","Liberia","LOFA","332112.8705"
"49","Liberia","MARGIBI","335867.4592"
"50","Liberia","MARYLAND","170676.9268"
"51","Liberia","MONTSERRADO","1248857.593"
"52","Liberia","NIMBA","562687.3087"
"53","Liberia","RIVER GEE","104550.9611"
"54","Liberia","RIVERCESS","89429.24378"
"55","Liberia","SINOE","109820.2691"
