country,code,who_region,classification,infections_mean,infections_min,infections_max,total_pop_size,prevalence
Angola,AGO,Africa,Epidemic,222188.0319,65690.30087,426781.023,28842482,0.007703499
Argentina,ARG,Americas,Epidemic,238425.7206,82483.95942,453937.0731,43508458.99,0.005479985
"Bahamas,_The",BHS,Americas,Epidemic,1884.710303,0,4926.066238,377923.0007,0.004987022
Bangladesh,BGD,SoutheastAsia,Epidemic,1370305.645,850426.7266,1910008.977,157977151,0.008674075
Barbados,BRB,Americas,Epidemic,1548.149476,0,4610.176039,285798.0001,0.005416936
Belize,BLZ,Americas,Endemic,4545.204759,1331.286541,8245.64881,368399,0.012337723
Benin,BEN,Africa,Epidemic,86772.75306,0,243221.0795,10872072,0.007981253
Bhutan,BTN,SoutheastAsia,Epidemic,4682.275488,0,12932.3687,736705.9996,0.006355691
Bolivia,BOL,Americas,Endemic,77403.46854,24850.65017,152376.6406,11031822,0.007016381
Botswana,BWA,Africa,Epidemic,14867.0889,0,42705.09655,2159925.001,0.006883151
Brazil,BRA,Americas,Endemic,2469449.83,1507694.265,4437806.953,206163055.9,0.011978139
Brunei,BRN,WesternPacific,Epidemic,3941.128973,0,10434.73692,419791.0004,0.009388312
Burkina_Faso,BFA,Africa,Epidemic,154599.8027,29585.75318,341919.311,18646350,0.008291156
Burundi,BDI,Africa,Epidemic,74483.9212,0,207878.8868,10488002,0.007101822
Cambodia,KHM,WesternPacific,Epidemic,145328.3083,0,421722.1999,15766290,0.00921766
Cameroon,CMR,Africa,Epidemic,174525.5629,34273.72786,380301.8962,23926549.01,0.007294222
Cape_Verde,CPV,Africa,Epidemic,3614.394927,0,9837.611452,531139.9992,0.006804976
Central_African_Republic,CAF,Africa,Epidemic,37297.66007,0,101102.3464,4537682.999,0.008219538
Chad,TCD,Africa,Epidemic,121551.9253,0,359606.4914,14561658,0.008347396
Chile,CHL,Americas,Epidemic,26651.66312,0,74361.2471,18209072,0.001463648
China,CHN,WesternPacific,Epidemic,166777.0649,31333.72245,362750.2423,1414049353,0.000117943
Colombia,COL,Americas,Epidemic,205291.4729,70070.48077,389082.7509,48175047.99,0.004261365
Comoros,COM,Africa,Epidemic,4986.245468,0,14112.95494,795597.0005,0.0062673
Congo_(Brazzaville),COG,Africa,Epidemic,39314.74081,0,110242.9196,4980996.002,0.007892948
Congo_(Kinshasa),COD,Africa,Epidemic,653171.7124,339246.1308,1036842.806,78789130.01,0.008290125
Costa_Rica,CRI,Americas,Epidemic,17086.96809,0,47338.32733,4899336,0.003487609
Croatia,HRV,Europe,Epidemic,1031.106034,0,7283.498295,4208610.998,0.000244999
