"country","code","who_region","classification","infections_mean","infections_min","infections_max","total_pop_size"
NA,"AGO_",NA,NA,NA,NA,NA,27884380.0074116
NA,"ARG_",NA,NA,NA,NA,NA,43075416.0041671
NA,"BDI_",NA,NA,NA,NA,NA,10160034.0013394
NA,"BEN_",NA,NA,NA,NA,NA,10575961.9976928
NA,"BFA_",NA,NA,NA,NA,NA,18110616.0015807
NA,"BGD_",NA,NA,NA,NA,NA,156256287.040971
NA,"BHS_",NA,NA,NA,NA,NA,374200.000476208
NA,"BLZ_",NA,NA,NA,NA,NA,360926.000287474
NA,"BOL_",NA,NA,NA,NA,NA,10869731.9959846
NA,"BRA_",NA,NA,NA,NA,NA,204471759.002085
NA,"BRB_",NA,NA,NA,NA,NA,285326.999338031
NA,"BRN_",NA,NA,NA,NA,NA,414914.000201139
NA,"BTN_",NA,NA,NA,NA,NA,727884.999785372
NA,"BWA_",NA,NA,NA,NA,NA,2120715.99998929
NA,"CAF_",NA,NA,NA,NA,NA,4493170.99689766
NA,"CHL_",NA,NA,NA,NA,NA,17969355.9937639
NA,"CHN_",NA,NA,NA,NA,NA,1406847868.03095
NA,"CIV_",NA,NA,NA,NA,NA,23226147.9963589
NA,"CMR_",NA,NA,NA,NA,NA,23298376.0053995
NA,"COD_",NA,NA,NA,NA,NA,76244531.99942
NA,"COG_",NA,NA,NA,NA,NA,4856092.99845298
NA,"COL_",NA,NA,NA,NA,NA,47520667.0130703
NA,"COM_",NA,NA,NA,NA,NA,777435.001052678
NA,"CPV_",NA,NA,NA,NA,NA,524740.000288898
NA,"CRI_",NA,NA,NA,NA,NA,4847804.99876254
NA,"CUB_",NA,NA,NA,NA,NA,11324776.9984518
NA,"CYP_",NA,NA,NA,NA,NA,1160986.99923865
NA,"DJI_",NA,NA,NA,NA,NA,913998.00129718
NA,"DOM_",NA,NA,NA,NA,NA,10281675.0092283
NA,"ECU_",NA,NA,NA,NA,NA,16212021.990626
NA,"ERI_",NA,NA,NA,NA,NA,3342818.00026461
NA,"ETH_",NA,NA,NA,NA,NA,100835453.000745
