"AGO","ARG","BDI","BEN","BFA","BGD","BHS","BLZ","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CUB","CYP","DJI","DOM","ECU","ERI","ETH","FJI","FRA","GAB","GHA","GIN","GMB","GNB","GNQ","GTM","GUY","HND","HRV","HTI","IDN","IND","IRN","ISR","ITA","JAM","JPN","KEN","KHM","KOR","LAO","LBR","LKA","MDG","MDV","MEX","MLI","MLT","MMR","MOZ","MRT","MUS","MWI","MYS","NAM","NER","NGA","NIC","NPL","OMN","PAK","PAN","PER","PHL","PNG","PRY","QAT","RWA","SAU","SDN","SEN","SGP","SLE","SLV","SOM","SUR","SWZ","TCD","TGO","THA","TLS","TTO","TUR","TZA","UGA","URY","USA","VEN","VNM","YEM","ZAF","ZMB","ZWE"
NA,3.62341376962667e-07,4.60070675796446e-08,2.93187896501338e-07,3.91488711702566e-08,1.12874482571178e-07,3.42909820469401e-09,0,1.11445691652555e-08,3.38569153658625e-05,5.42940549076551e-09,8.57274551173502e-10,0,7.16395766597323e-07,1.16875097143321e-07,2.16318945079447e-07,2.66852422289288e-05,5.91233682125992e-07,6.36669233338187e-07,6.35811958787014e-07,4.40982029123649e-06,3.45195885939197e-07,2.0003072860715e-09,1.49422954269541e-06,1.2573360083878e-08,2.7338485436923e-06,8.77277624034217e-08,4.28637275586751e-09,1.0858810981531e-08,1.1173144983628e-07,4.57213093959201e-09,5.19508378011142e-07,1.143032734898e-09,8.92765717592085e-06,1.74884008439394e-07,7.49829474093089e-07,9.23570449797586e-07,1.09445384366484e-07,1.50023046455363e-07,5.62943621937266e-08,3.14334002096951e-09,0,6.51528658891861e-08,6.49814109789514e-07,1.143032734898e-09,5.51513294588286e-07,4.05919499980653e-06,1.80027655746435e-08,1.38278385104286e-06,2.7304194454876e-06,3.42909820469401e-09,2.6289752902654e-07,1.01044093764983e-06,3.40052238632156e-08,4.14920882767975e-07,4.00061457214301e-09,1.67168537478833e-07,7.88692587079622e-08,7.05822713799516e-08,3.82915966190831e-08,2.10032265037508e-07,2.86615458275674e-07,6.88677222776046e-08,2.20033801467865e-08,2.71155940536179e-06,7.47829166807018e-07,1.8031341393016e-07,5.74373949286246e-08,3.44338611388023e-07,0.000145320324025809,9.14426187918402e-09,5.25423572414239e-06,6.00092185821451e-09,2.94330929236236e-08,3.11476420259706e-08,2.49752652575213e-07,1.30305731778372e-07,8.94423115057687e-08,3.3776617316236e-06,5.71516367449001e-10,2.96331236522307e-07,5.11507148866856e-08,1.16303580775872e-07,5.48655712751041e-08,7.74404677893396e-08,3.18334616669094e-07,6.21238291417064e-07,1.21447228082913e-07,1.4287909186225e-09,4.28637275586751e-09,2.85758183724501e-10,4.28637275586751e-09,3.48624984143891e-08,2.5718236535205e-08,1.04044554694091e-06,0,1.38592719106383e-07,5.46941163648694e-07,3.02617916564246e-07,3.35194349508839e-07,6.11522513170431e-08,8.11981879053168e-06,1.35449379085413e-07,3.97575361015898e-06,1.143032734898e-09,3.10864897746535e-05,7.76690743363192e-07,8.98709487813554e-07
1.66147062779424e-07,NA,1.02797873336071e-09,2.31295215006159e-09,2.44144949173168e-09,1.94030985921834e-08,4.2121428599455e-07,3.90631918677069e-08,7.87926424519732e-05,0.000390944552709352,8.90486577773713e-08,1.41347075837097e-09,0,9.76579796692673e-09,6.42486708350442e-10,0.000396953088405846,4.81890730731166e-06,8.60932189189593e-09,6.55336442517451e-09,6.03937505849416e-09,4.75440164179327e-09,3.26705776169617e-05,0,3.85492025010266e-09,2.71155090392221e-06,1.5471336931762e-05,7.96683518354549e-08,1.54196810004106e-09,2.34278923279739e-05,2.2230554098292e-05,1.28497341670089e-10,1.94030985921834e-08,9.38030594191646e-09,1.26576306412121e-05,6.16787240016425e-09,2.36435108672963e-08,6.42486708350442e-10,5.13989366680354e-10,3.08393620008212e-09,1.40062102420396e-08,9.41243027733398e-07,2.23585374505954e-08,3.89989431968719e-07,3.39746971375714e-07,1.4545899077054e-07,1.3003930977013e-07,1.01178806831028e-06,5.69243223598492e-08,4.2220371552541e-06,2.46560699196566e-05,4.60277477862257e-07,2.40495624669738e-06,7.6969907660383e-08,6.55336442517451e-09,9.42399503808429e-07,3.3409308834223e-09,2.31295215006159e-09,1.82466225171526e-08,7.19585113352496e-09,2.59564630173579e-08,4.46894479727317e-05,1.54196810004106e-09,5.9494269193251e-08,1.41347075837097e-08,5.31978994514166e-08,5.13989366680354e-10,3.27668221258726e-08,1.79896278338124e-09,2.45815414614879e-07,2.86549071924297e-08,1.28497341670089e-10,7.15730193102393e-08,2.98627822041286e-07,2.10735640338945e-08,1.91461039088432e-08,3.22528327591922e-08,4.22859051967927e-06,3.21899975591155e-05,3.36149045808952e-07,2.05595746672142e-09,0.000201087160444963,4.28795629153085e-07,7.8383378418754e-09,9.04621285357423e-08,2.44144949173168e-09,1.08965745736235e-07,2.9078948419941e-07,1.54196810004106e-09,3.4874178529262e-07,0,2.91688965591101e-08,0,1.1564760750308e-09,1.54196810004106e-09,1.60261884530934e-06,0,1.37749150270335e-07,4.23527238144612e-06,3.10963566841614e-08,2.37720082089664e-08,0.000314772228048716,0.000146051877505006,1.60674360997695e-05,1.1603309952809e-07,8.9948139169062e-10,1.3317464490688e-06,1.81181251754825e-08,1.81181251754825e-08
1.26994489631664e-07,4.32935760107946e-09,NA,2.79965124869805e-07,1.84719257646057e-07,1.34210085633463e-07,1.44311920035982e-09,0,1.80389900044978e-08,9.88536652246477e-08,0,0,0,5.6281648814033e-08,1.93377972848216e-07,2.16467880053973e-09,9.51737112637301e-07,5.74361441743208e-07,1.15449536028786e-06,7.38155470984048e-07,4.7983713411964e-07,5.77247680143928e-09,4.11288972102549e-08,6.49403640161919e-09,7.2155960017991e-10,7.2155960017991e-10,8.65871520215892e-09,1.5946467163976e-07,7.2155960017991e-10,1.44311920035982e-09,6.49403640161919e-09,2.99735857914735e-06,0,1.85801597046327e-06,3.91085303297511e-07,1.46476598836522e-07,5.26738508131334e-08,1.01018344025187e-08,1.01018344025187e-08,3.60779800089955e-08,2.88623840071964e-09,0,0,2.02036688050375e-08,3.10270628077361e-08,2.09252284052174e-08,9.23596288230285e-07,2.66977052066567e-08,1.39261002834723e-07,9.84207294645397e-07,0,5.05091720125937e-08,1.55005433310648e-05,7.93715560197901e-09,1.25551370431304e-07,2.16467880053973e-09,2.30899072057571e-08,1.5874311203958e-08,1.97707330449295e-07,2.88623840071964e-09,9.38027480233883e-09,3.34803654483478e-07,2.16467880053973e-09,5.77247680143928e-09,2.26569714456492e-07,4.0407337610075e-08,1.44311920035982e-07,9.45243076235682e-08,1.65958708041379e-08,4.0407337610075e-08,1.50805956437601e-07,2.4316558526063e-07,0,9.01949500224888e-08,1.10470774787544e-06,1.01739903625367e-07,0,1.65958708041379e-08,3.39133012084558e-08,0,7.2155960017991e-10,5.70032084142129e-08,1.52176919677943e-05,6.50125199762099e-07,4.25720164106147e-07,6.63834832165517e-07,1.87605496046777e-08,1.73174304043178e-08,0,1.94821092048576e-08,1.44311920035982e-09,1.44311920035982e-09,2.51102740862609e-07,9.95752248248276e-08,1.81111459645157e-07,0,2.16467880053973e-09,1.69566506042279e-07,4.72765850037877e-06,1.95268459000687e-05,2.30899072057571e-08,1.93450128808234e-06,0,2.95839436073763e-07,1.08233940026987e-08,2.47062007101601e-06,5.45499057736012e-07,2.81408244070165e-07
8.14578442550305e-07,1.16368348935758e-08,3.03333496225875e-07,NA,1.65041350350621e-05,1.70673578439111e-08,7.75788992905052e-10,0,0,4.29011313076494e-07,2.32736697871516e-09,0,0,9.69736241131315e-08,6.68807690783445e-06,6.20631194324042e-09,1.0858718533692e-05,5.26652115723524e-05,5.03277593367294e-05,1.39486860924328e-06,3.45986375055795e-05,1.03955725049277e-07,3.18073487091071e-08,1.5515779858101e-07,7.75788992905052e-10,4.11168166239678e-08,3.10315597162021e-09,3.49105046807273e-08,5.43052295033536e-09,5.43052295033536e-09,5.43052295033536e-09,1.21721292986803e-06,7.75788992905052e-10,4.32820437031658e-05,4.69375614377344e-05,4.98987480236529e-06,1.65475792186648e-06,6.88900625699686e-07,4.35217625019734e-07,1.64211256128212e-05,3.10315597162021e-09,0,0,2.56010367658667e-08,1.51278853616485e-07,3.0255770723297e-08,2.31728172180739e-06,5.43052295033536e-08,2.11014606070174e-07,3.3327895135201e-06,4.65473395743031e-09,2.56786156651572e-07,1.1667866453292e-06,5.43052295033536e-09,1.32659917786764e-07,2.32736697871516e-09,1.59036743545536e-07,3.18073487091071e-08,6.43129075118288e-07,3.10315597162021e-09,6.54765910011864e-07,5.84169111657504e-06,3.56862936736324e-08,2.32736697871516e-09,1.23350449871903e-07,4.67024973728841e-07,7.60273213046951e-08,3.18073487091071e-08,1.08610459006707e-07,3.18073487091071e-08,3.22960957746373e-06,0.000144744382929246,2.17220918013415e-08,3.10315597162021e-09,1.39642018722909e-08,6.74936423827395e-08,1.08610459006707e-08,1.16368348935758e-08,1.96274615204978e-07,0,2.32736697871516e-09,8.45610002266507e-08,1.03335093854953e-06,3.57173252333486e-06,9.30946791486062e-08,1.28780972822239e-05,3.0255770723297e-08,3.46001890835653e-07,0,2.32736697871516e-09,4.26683946097779e-08,0,1.69044421554011e-06,2.44148553957149e-05,7.83546882834102e-08,0,1.00852569077657e-08,1.3056528750592e-06,3.39019789899508e-07,4.25132368111969e-07,3.87894496452526e-09,5.25441884894592e-06,9.30946791486062e-09,2.01705138155314e-08,0,2.89214136555003e-06,1.30332550808049e-07,8.06820552621254e-08
6.64601937902756e-08,1.03696756268515e-08,1.07467547405552e-07,1.00274763311654e-05,NA,1.13123734111107e-08,4.71348892129614e-10,4.24214002916653e-09,6.5988844898146e-09,1.2160801416944e-07,9.42697784259229e-10,0,0,3.20517246648138e-08,1.45175458775921e-07,8.95562895046267e-09,3.52286161977674e-06,2.11296281363863e-05,1.68130149822633e-06,2.92236313120361e-07,5.77873741750907e-07,1.36691178717588e-08,9.42697784259229e-09,9.47411273180525e-08,4.71348892129614e-10,5.09056803499983e-08,9.42697784259229e-09,3.81792602624988e-08,5.65618670555537e-09,5.65618670555537e-09,9.42697784259229e-10,9.19130339652748e-07,3.2994422449073e-09,2.73174963922639e-05,1.45505403000412e-06,6.44993823990164e-06,1.66668968257032e-06,1.52717041049995e-07,4.98215778981002e-07,8.24860561226825e-08,1.88539556851846e-09,3.2994422449073e-09,4.71348892129614e-10,2.6866886851388e-08,5.32624248106464e-08,4.61921914287022e-08,5.46293365978223e-07,2.82809335277769e-08,2.61127286239806e-07,6.70823743278867e-06,0,2.6914021740601e-07,7.64527903034234e-07,8.01293116620344e-09,1.06996198513422e-07,6.5988844898146e-09,6.88169382509237e-08,8.48428005833306e-09,1.10766989650459e-07,0,1.79112579009253e-08,8.7364517156224e-06,6.83455893587941e-08,9.42697784259229e-10,7.40017760643494e-08,3.85092044869895e-07,4.38354469680541e-08,2.45101423907399e-08,2.12107001458326e-08,1.41404667638884e-08,6.24961496074656e-06,1.31034992012033e-05,3.2994422449073e-09,6.5988844898146e-09,6.12753559768499e-09,2.35674446064807e-08,1.41404667638884e-09,2.6866886851388e-08,6.64601937902756e-08,4.71348892129614e-10,1.41404667638884e-09,1.12181036326848e-07,1.73456392303698e-07,1.23493409737959e-06,2.09278908105549e-07,1.00265336333812e-05,3.81792602624988e-08,8.24860561226825e-08,4.71348892129614e-10,9.42697784259229e-10,6.12753559768499e-09,0,1.04545184274348e-06,1.11016804563288e-05,1.13123734111107e-07,0,0,2.71638366534297e-06,1.93253045773142e-07,3.12504315481934e-07,1.41404667638884e-09,5.37620546363038e-06,4.71348892129614e-10,2.21533979300919e-08,9.42697784259229e-10,1.07656086962404e-06,8.20147072305529e-08,6.03326581925906e-08
1.35256918436404e-08,1.56022503424565e-08,1.75104392332606e-08,1.5714496747798e-09,8.41848040060605e-10,NA,1.45920326943838e-09,1.12246405341414e-10,8.0256179819111e-09,9.35573788520685e-08,1.17858725608485e-09,9.01058018878201e-07,8.53858405432136e-07,2.95769278074626e-08,3.03065294421818e-09,3.53576176825454e-09,7.92611154357594e-06,2.67707676739272e-08,7.40826275253332e-09,7.46438595520403e-09,1.40308006676767e-09,4.77047222701009e-09,1.68369608012121e-10,3.36739216024242e-10,7.29601634719191e-10,1.23471045875555e-09,1.71568630564351e-07,1.17858725608485e-08,1.12246405341414e-09,1.34695686409697e-09,3.81637778160808e-09,4.65261350140161e-08,9.98993007538584e-09,7.99867884462916e-07,1.85206568813333e-09,2.7388122903305e-08,1.45920326943838e-09,1.85206568813333e-09,1.68369608012121e-10,2.63779052552323e-09,5.6123202670707e-10,1.23471045875555e-09,1.01021764807273e-09,1.56583735451273e-08,3.08677614688888e-09,1.17808214726081e-06,2.41830951683889e-05,3.93928759545692e-07,3.25514575490101e-09,4.18578070158667e-06,1.40308006676767e-09,1.79268733970772e-06,8.10980278591716e-08,1.04613649778198e-07,1.55416372835722e-06,1.3020583019604e-08,1.5714496747798e-08,2.05680313147607e-06,2.35717451216969e-09,1.86727507605709e-06,1.3413445438299e-08,1.96992441374182e-08,1.52093879237616e-08,7.20060690265171e-07,5.02302663902828e-08,6.17355229377777e-09,5.38333760017421e-07,1.75665624359313e-08,3.0962329065389e-05,1.51532647210909e-09,9.54094445402019e-10,5.93222252229373e-08,5.6123202670707e-10,2.36755730466377e-06,1.362171864341e-05,1.47581573742891e-06,4.20924020030302e-09,4.88271863235151e-09,5.57808511344157e-07,6.28018637885211e-08,1.21226117768727e-08,9.77834560131728e-06,1.11685173314707e-08,4.31941004714562e-05,2.07431357070933e-07,7.91337157656969e-09,1.39560445617194e-05,6.95927713116767e-09,1.06634085074343e-09,1.34695686409697e-08,6.73478432048484e-10,3.92862418694949e-10,3.36739216024242e-09,1.68369608012121e-09,1.33040613162938e-05,0,8.47460360327676e-09,9.39726905518318e-07,8.43531736140726e-08,1.16792384757741e-07,3.42351536291313e-09,8.85096580038652e-06,3.81637778160808e-09,4.48031526920254e-07,3.50770016691919e-08,6.03717291128795e-07,1.8969642502699e-08,1.22909813848848e-08
8.07585081642423e-08,3.17784729626293e-05,1.3459751360707e-08,1.3459751360707e-08,0,3.09574281296262e-07,NA,3.66105237011232e-06,2.63811126669858e-06,6.32742911466838e-05,4.85358634067096e-05,0,0,9.15263092528079e-07,1.3459751360707e-08,2.1226027895835e-05,4.88319779366452e-05,2.69195027214141e-08,3.49953535378383e-07,1.3459751360707e-08,0,5.22507547822647e-05,0,2.69195027214141e-08,2.12529473985564e-05,0.000233297870335135,8.74883838445958e-07,0,5.35159714101712e-05,1.87628933968256e-05,0,1.61517016328485e-07,2.55735275853434e-07,0.000128029154943045,1.48057264967777e-07,1.09023986021727e-06,1.3459751360707e-08,1.3459751360707e-08,0,2.69195027214141e-08,8.73537863309887e-06,1.51422202807954e-05,7.49708150791382e-06,4.56285571127969e-06,1.95435589757466e-05,2.05934195818818e-06,1.35405098688713e-05,0,1.34732111120677e-05,0.000148191862481385,0.000408866867084198,6.99907070756766e-06,2.22085897451666e-06,4.03792540821211e-08,6.02996860959676e-06,0,0,5.11470551706868e-07,9.42182595249493e-08,9.42182595249493e-08,8.66404195088712e-05,0,1.41327389287424e-06,5.78769308510403e-07,1.21137762246363e-07,0,5.78769308510403e-07,2.01896270410606e-07,2.22085897451666e-06,2.15356021771313e-07,0,3.78219013235868e-05,7.68551802696372e-06,1.21137762246363e-07,3.09574281296262e-07,2.82654778574848e-07,5.96939972847357e-05,1.63939771573412e-05,2.88711666687166e-05,2.69195027214141e-08,7.80665578921009e-06,6.72987568035352e-07,6.72987568035352e-08,2.81308803438777e-06,0,2.01896270410606e-07,4.60323496536181e-06,4.03792540821211e-08,4.30712043542625e-06,0,2.97460505071626e-06,0,0,4.03792540821211e-08,1.77668717961333e-06,0,6.26416828327306e-05,3.91678764596575e-06,5.78769308510403e-07,1.97858345002394e-06,8.9911139089523e-06,0.0239237927805642,8.33158609227766e-06,4.98010800346161e-07,0,2.81981791006813e-05,2.82654778574848e-07,1.21137762246363e-07
2.79130377011126e-07,1.17234758344673e-05,0,0,2.09347782758344e-07,3.48912971263907e-08,1.17583671315937e-05,NA,6.03619440286559e-06,1.93646699051468e-05,3.70894488453533e-05,0,0,1.74456485631954e-07,0,7.71097666493235e-06,1.2142171399984e-05,0,2.44239079884735e-07,0,0,3.98807526154646e-05,0,0,0.000132796276863043,6.28043348275033e-06,1.36076058792924e-06,1.04673891379172e-07,1.2142171399984e-05,1.18979323200992e-05,0,3.14021674137516e-07,6.62934645401424e-07,8.92519380493074e-05,0,2.44239079884735e-07,0,0,0,6.97825942527814e-08,0.00242351460710197,9.42065022412549e-06,0.000296331786494436,1.74456485631954e-07,2.09347782758344e-07,1.29097799367646e-06,8.47858520171294e-06,3.48912971263907e-08,2.23304301608901e-06,5.25811847694708e-05,5.23369456895861e-05,1.93995612022732e-05,8.02499833906986e-07,3.48912971263907e-08,3.03554284999599e-06,0,0,3.14021674137516e-07,0,0,0.000421207738909789,1.04673891379172e-07,4.8847815976947e-07,6.97825942527814e-08,1.04673891379172e-07,0,1.74456485631954e-07,1.04673891379172e-07,2.09347782758344e-07,1.39565188505563e-07,0,2.30282561034179e-06,8.61815039021851e-05,1.39565188505563e-07,1.04673891379172e-07,1.04673891379172e-07,4.74521640918914e-05,1.30144538281437e-05,2.75641247298487e-06,1.04673891379172e-07,1.84923874769871e-06,4.8847815976947e-07,0,3.14021674137516e-07,0,6.97825942527814e-08,1.04673891379172e-06,3.48912971263907e-08,0.000232341147564636,0,3.59380360401824e-06,0,0,0,1.39565188505563e-06,0,2.92389069919154e-05,1.01184761666533e-06,1.04673891379172e-07,0,1.74456485631954e-06,0.0106415664931722,3.3844558212599e-06,1.04673891379172e-07,3.48912971263907e-08,3.20999933562795e-06,3.48912971263907e-08,1.39565188505563e-07
1.70331941939571e-08,0.000401711506993138,1.9653685608412e-09,6.55122853613735e-10,7.86147424336482e-09,1.44127027795022e-08,1.77538293329322e-07,1.02854288017356e-07,NA,0.000127869499059743,4.25829854848928e-08,0,0,6.55122853613735e-10,1.31024570722747e-09,0.000330387626797357,3.29068209370179e-06,9.17171995059229e-09,2.09639313156395e-08,3.93073712168241e-09,1.57229484867296e-08,2.54986917083538e-05,6.55122853613735e-10,7.86147424336482e-09,1.94964561235448e-06,5.73887619765632e-06,5.89610568252362e-09,0,1.20968434919776e-05,1.0656228336881e-05,0,2.55497912909357e-08,3.93073712168241e-09,5.18791787776717e-06,1.76883170475708e-08,1.04819656578198e-08,1.31024570722747e-09,6.55122853613735e-10,1.31024570722747e-09,1.63780713403434e-08,1.18446211933363e-06,3.07907741198455e-08,5.49648074181924e-07,1.44127027795022e-08,1.46092396355863e-07,1.44127027795022e-08,1.85399767572687e-07,1.89985627547983e-08,2.01122716059417e-07,6.47654453082538e-06,1.28404079308292e-07,1.17954869793153e-05,2.2274177022867e-08,1.9653685608412e-09,6.54467730760121e-07,1.31024570722747e-09,3.27561426806867e-09,6.55122853613735e-09,1.9653685608412e-09,1.9653685608412e-09,1.82792378615304e-05,2.62049141445494e-09,9.17171995059229e-09,1.9653685608412e-09,2.03088084620258e-08,6.55122853613735e-10,4.58585997529614e-09,5.89610568252362e-09,3.60317569487554e-08,4.58585997529614e-09,0,5.89610568252362e-09,8.81140238110474e-07,1.17922113650472e-08,2.29292998764807e-08,6.55122853613735e-09,7.48019274256163e-06,0.000169570689183672,3.34112655343005e-08,2.16190541692533e-08,2.56218548048332e-05,4.12727397776653e-08,5.24098282890988e-09,4.25829854848928e-08,2.62049141445494e-09,2.48946684373219e-08,3.66868798023692e-08,3.27561426806867e-09,6.01402779617409e-07,0,5.10995825818713e-08,0,0,6.55122853613735e-10,7.20635138975109e-08,0,2.41085210129854e-07,1.10715762260721e-07,2.2274177022867e-08,3.79971255095966e-08,7.97677586560084e-06,0.000103550028487894,6.53222997338255e-06,5.89610568252362e-09,0,1.48057764916704e-07,7.86147424336482e-09,4.58585997529614e-09
6.99813396915112e-06,0.000179702684195494,7.32411620576075e-09,2.85286139305036e-08,1.60067378367836e-08,7.65488274408543e-08,3.62425621278612e-07,3.29585229259234e-08,1.15286314314936e-05,NA,3.61421508572984e-07,9.45047252356225e-10,5.90654532722641e-11,2.30945922294553e-08,2.65203885192466e-08,5.06560684280788e-05,8.18357761632546e-06,6.44404095200401e-08,5.55805915292005e-08,3.53802065100862e-08,5.76478823937297e-08,1.51691306439296e-05,5.90654532722641e-11,6.85808977944258e-07,1.8146088554305e-06,2.19953841440584e-06,4.94968498421573e-08,4.13458172905849e-10,1.06356208434702e-05,3.27978648930228e-06,2.9532726636132e-10,1.27817640881179e-07,9.45047252356225e-09,2.2995834791584e-05,1.73061778087734e-08,1.71230749036294e-07,2.26220686032771e-08,2.00822541125698e-09,9.65720161001518e-08,4.28815190756637e-08,5.60708347913603e-07,5.21547952394092e-08,3.51498512423244e-07,3.73648057400343e-06,5.23142719632443e-07,4.5078753937392e-07,2.59114236960095e-06,3.00347829889463e-07,4.61862311862469e-06,3.91858527298714e-05,2.28878631430023e-07,6.14983592925486e-06,1.51089429470452e-07,1.32306615329872e-08,3.91568515923148e-06,4.84336716832565e-09,6.96972348612716e-09,5.19775988795924e-08,2.69338466921524e-08,1.27286051801729e-07,2.3306696272156e-05,1.81330941545851e-08,2.27638256911306e-07,3.07140357015773e-08,7.02583566673581e-07,6.9106580328549e-09,9.1019863492559e-08,1.82512250611296e-08,1.08072059852262e-06,8.41092054597041e-08,3.48486174306358e-09,1.0622331116484e-06,3.64906370316048e-07,4.21136681831243e-08,4.97331116552464e-08,1.19725673782879e-07,5.81375350013568e-06,1.62259297338769e-05,1.06347348616711e-06,2.3035526776183e-09,2.90503981447107e-05,2.98221473571661e-07,8.74168708429509e-09,1.46186996848854e-07,2.46893594678064e-08,1.10688659432223e-07,1.57421246061238e-06,5.02056352814245e-09,5.26627581375507e-07,6.49719985994905e-10,1.3277913895605e-06,1.18130906544528e-10,5.2568253412315e-09,7.0228823940722e-08,2.87489280712091e-06,0,4.11568078401136e-07,4.8892610255182e-06,6.42041477069511e-08,4.08142282111345e-08,4.11343039024169e-05,0.000188687248423645,9.75117474617135e-06,1.25100630030655e-07,6.49719985994905e-10,3.34304558975688e-06,5.84747987395414e-08,4.89652607627069e-08
