"country","code","t_min","t_max","peak_time","amplitude","s_l","s_l_SE","s_r","s_r_SE","aoc"
"Argentina","ARG",2016,2016.835062,2016.331287,2596,29.990071223766,4.35193230097237,56.7050371365014,37.7070914462546,212.562347140735
"Bahamas","BHS",2014.328549,2015.413424,2014.832324,1005,42.7478408515127,15.2552368916805,17.2853559895172,1.70195374216264,133.778183852323
"Barbados","BRB",2013.914462,2016.66805,2014.914462,350,149.844929666937,323399.247116121,154.470031343986,295855.576180818,7.22850329247056
"Bolivia","BOL",2015.914462,2016.583175,2016.416162,8890,18.4087582759716,5.96746582498221,1355.3351475997,1.2583141253169e+50,921.495737223305
"Bolivia","BOL",2016.66805,2017.914462,2017.413424,1789,48.7485104386441,39.5682859287345,18.4064811898989,3.02866458967668,220.663240129186
"Brazil","BRA",2015,2017.084875,2016.66805,128674,11.005985520328,1.01663621480085,6.72546740910456,0.424840254497104,48844.3695794032
"Brazil","BRA",2017.161537,2017.914462,2017.328549,54095,4.91085150545459,0.598471797446384,21.947124467035,7.25378660876635,21925.1583957736
"Chile","CHL",2014.413424,2015.246412,2014.914462,168,28.1895362047725,7.17616649833586,105.019023062916,3800.3906037362,12.843807999216
"Colombia","COL",2015,2017.914462,2015.161537,55733,4.71078524748381,0.257847222623128,35.3103731091311,8.5922800287749,24199.3013692823
"Costa Rica","CRI",2014.413424,2015.413424,2015,52778,12.0423120281835,2.01389151836584,10.0479672171595,1.49902277754572,15074.694849449
"Costa Rica","CRI",2015.832324,2017.914462,2016.084875,962,25.6182769502983,9.66992136260896,14.8985252094142,3.58007780583301,160.064768173535
"Cuba","CUB",2014.832324,2015.246412,2015.084875,127,1500.70813404035,7.66837837832792e+49,13.5386271099319,1.94193060579939,18.1493840334791
"Dominican Republic","DOM",2014,2015.413424,2014.495562,142482,9.57781946177086,0.906306373195046,10.8874906590622,1.13016328155459,43842.9752930227
"Ecuador","ECU",2014.747449,2017.914462,2015.495562,14041,31.5917496530557,6.44565521426995,23.8594646721926,3.15724452205101,1629.93132502225
"El Salvador","SLV",2013.914462,2017.914462,2015.580437,10349,16.6227833746832,1.84887244453263,9.09495842165983,0.652524533281214,2821.4088741475
"Guatemala","GTM",2015.495562,2016.416162,2015.914462,21893,31.1200913806583,1.20454544105413,147.972128572218,16797.3186468742,1479.39213263421
"Guyana","GUY",2014.495562,2015.161537,2014.914462,21429,24.4091551136796,0.676660924200884,68.3918390989373,24.8250994247769,1968.56129884204
"Haiti","HTI",2014.084875,2014.747449,2014.413424,45526,24.1275985188681,0.635542571149073,31.4819352927271,1.25313045161678,5255.6077111339
"Honduras","HND",2014.747449,2016.835062,2015.580437,22673,50.9084823184667,78.6486531486491,12.0494137901107,2.21325671306812,3999.86731973451
"Jamaica","JAM",2014.580437,2015.580437,2014.914462,2691,11.8171482450161,1.65437900364995,16.7263879343301,3.04466162987742,613.27592313906
"Mexico","MEX",2014,2017.914462,2015.665312,2843,8.82605217320425,0.478336978862568,9.53507057887437,0.546193663302519,974.668394412207
"Nicaragua","NIC",2014.161537,2017.914462,2015.580437,20953,17.3611055833149,4.66867841072612,62.9660346264155,250.494234315684,2609.74289441812
"Panama","PAN",2016.583175,2017.914462,2017.580437,607,11.6970285940596,3.93817428994577,6.80033773730456,1.5925037172579,223.106371581723
"Peru","PER",2014.084875,2015.328549,2014.747449,8286,9.92644517763212,2.09727748968746,10.4663569411118,2.31147986864486,2548.43350556181
"Suriname","SUR",2013.914462,2015.580437,2014.161537,2865,33.1597648150669,7.20532623833548,37.4952434834401,8.54249207708166,255.9513695274
"Trinidad and Tobago","TTO",2014.161537,2015.747449,2014.665312,570,17.4194011975155,3.51294603944253,74.1525116544297,489.710429244561,69.5084152033292
"United States of America","USA",2014.246412,2015.328549,2014.914462,9,157.611999040696,1107414.52377615,161.629468720435,938656.321939896,0.177169082533187
"Uruguay","URY",2014.246412,2015.328549,2015,114,34.618296017608,17.855611020054,11.5732692515616,1.87336269542711,21.8888782649117
"Venezuela","VEN",2014,2017.914462,2015.328549,12778,168.639802166711,331696.947249781,175.438261418236,377542.077783775,233.450587466519
