"X","country","code","who_region","classification","infections_mean","infections_min","infections_max","total_pop_size","mean_incidence","max_incidence","p_spillover"
1,"Angola","AGO","Africa","Epidemic",222188.03194174,65690.3008733426,426781.023018787,27884380.0074116,0.00796818978520171,0.015305379675121,0.00651071167021514
2,"Argentina","ARG","Americas","Epidemic",238425.72060681,82483.9594202173,453937.073149644,43075416.0041671,0.00553507644786866,0.0105381935976133,0.00698651996720169
3,"Bahamas,_The","BHS","Americas","Epidemic",1884.71030332085,0,4926.06623840467,374200.000476208,0.00503663896558622,0.0131642603744942,5.52271211890626e-05
4,"Bangladesh","BGD","SoutheastAsia","Epidemic",1370305.6451945,850426.726574405,1910008.9770305,156256287.040971,0.00876960326617258,0.0122235656126252,0.0401536701952915
5,"Barbados","BRB","Americas","Epidemic",1548.1494755416,0,4610.17603891652,285326.999338031,0.00542587795453414,0.0161575176888703,4.53649765451323e-05
6,"Belize","BLZ","Americas","Endemic",4545.20475889066,1331.28654055546,8245.64881003386,360926.000287474,0.01259317631667,0.0228458154953267,0.00013318682112899
7,"Benin","BEN","Africa","Epidemic",86772.7530603683,0,243221.079526664,10575961.9976928,0.0082047149071922,0.0229975372055728,0.00254267689879432
8,"Bhutan","BTN","SoutheastAsia","Epidemic",4682.2754884984,0,12932.3687049697,727884.999785372,0.00643271325810951,0.0177670493399136,0.00013720336509449
9,"Bolivia","BOL","Americas","Endemic",77403.4685366344,24850.6501651289,152376.640583309,10869731.9959846,0.00712100984322595,0.0140184358399635,0.00226813146285367
10,"Botswana","BWA","Africa","Epidemic",14867.0889014561,0,42705.0965503541,2120715.99998929,0.00701041011692805,0.0201371124424816,0.000435646008324233
11,"Brazil","BRA","Americas","Endemic",2469449.82977412,1507694.26487163,4437806.95335648,204471759.002085,0.0120772171268353,0.0217037647400061,0.0723615744971221
12,"Brunei","BRN","WesternPacific","Epidemic",3941.12897317869,0,10434.7369210367,414914.000201139,0.00949866471429775,0.0251491560081805,0.000115485763005569
13,"Burkina_Faso","BFA","Africa","Epidemic",154599.8027005,29585.7531776149,341919.310985751,18110616.0015807,0.00853641878812993,0.0188794964763158,0.00453019332706018
