"reporting","AGO","ARG","BDI","BEN","BFA","BGD","BHS","BLZ","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CUB","CYP","DJI","DOM","ECU","ERI","ETH","FJI","FRA","GAB","GHA","GIN","GMB","GNB","GNQ","GTM","GUY","HND","HRV","HTI","IDN","IND","IRN","ISR","ITA","JAM","JPN","KEN","KHM","KOR","LAO","LBR","LKA","MDG","MDV","MEX","MLI","MLT","MMR","MOZ","MRT","MUS","MWI","MYS","NAM","NER","NGA","NIC","NPL","OMN","PAK","PAN","PER","PHL","PNG","PRY","QAT","RWA","SAU","SDN","SEN","SGP","SLE","SLV","SOM","SUR","SWZ","TCD","TGO","THA","TLS","TTO","TUR","TZA","UGA","URY","USA","VEN","VNM","YEM","ZAF","ZMB","ZWE"
"AGO",NA,1268,161,1026,137,395,12,0,39,118481,19,3,0,2507,409,757,93384,2069,2228,2225,15432,1208,7,5229,44,9567,307,15,38,391,16,1818,4,31242,612,2624,3232,383,525,197,11,0,228,2274,4,1930,14205,63,4839,9555,12,920,3536,119,1452,14,585,276,247,134,735,1003,241,77,9489,2617,631,201,1205,508543,32,18387,21,103,109,874,456,313,11820,2,1037,179,407,192,271,1114,2174,425,5,15,1,15,122,90,3641,0,485,1914,1059,1173,214,28415,474,13913,4,108786,2718,3145
"ARG",1293,NA,8,18,19,151,3278,304,613185,3042433,693,11,0,76,5,3089193,37502,67,51,47,37,254251,0,30,21102,120402,620,12,182322,173004,1,151,73,98505,48,184,5,4,24,109,7325,174,3035,2644,1132,1012,7874,443,32857,191880,3582,18716,599,51,7334,26,18,142,56,202,347785,12,463,110,414,4,255,14,1913,223,1,557,2324,164,149,251,32908,250511,2616,16,1564913,3337,61,704,19,848,2263,12,2714,0,227,0,9,12,12472,0,1072,32960,242,185,2449640,1136614,125041,903,7,10364,141,141
"BDI",176,6,NA,388,256,186,2,0,25,137,0,0,0,78,268,3,1319,796,1600,1023,665,8,57,9,1,1,12,221,1,2,9,4154,0,2575,542,203,73,14,14,50,4,0,0,28,43,29,1280,37,193,1364,0,70,21482,11,174,3,32,22,274,4,13,464,3,8,314,56,200,131,23,56,209,337,0,125,1531,141,0,23,47,0,1,79,21090,901,590,920,26,24,0,27,2,2,348,138,251,0,3,235,6552,27062,32,2681,0,410,15,3424,756,390
"BEN",1050,15,391,NA,21274,22,1,0,0,553,3,0,0,125,8621,8,13997,67886,64873,1798,44598,134,41,200,1,53,4,45,7,7,7,1569,1,55791,60503,6432,2133,888,561,21167,4,0,0,33,195,39,2987,70,272,4296,6,331,1504,7,171,3,205,41,829,4,844,7530,46,3,159,602,98,41,140,41,4163,186577,28,4,18,87,14,15,253,0,3,109,1332,4604,120,16600,39,446,0,3,55,0,2179,31471,101,0,13,1683,437,548,5,6773,12,26,0,3728,168,104
"BFA",141,22,228,21274,NA,24,1,9,14,258,2,0,0,68,308,19,7474,44828,3567,620,1226,29,20,201,1,108,20,81,12,12,2,1950,7,57956,3087,13684,3536,324,1057,175,4,7,1,57,113,98,1159,60,554,14232,0,571,1622,17,227,14,146,18,235,0,38,18535,145,2,157,817,93,52,45,30,13259,27800,7,14,13,50,3,57,141,1,3,238,368,2620,444,21272,81,175,1,2,13,0,2218,23553,240,0,0,5763,410,663,3,11406,1,47,2,2284,174,128
"BGD",241,278,312,28,15,NA,26,2,143,1667,21,16055,15214,527,54,63,141227,477,132,133,25,85,3,6,13,22,3057,210,20,24,68,829,178,14252,33,488,26,33,3,47,10,22,18,279,55,20991,430893,7019,58,74582,25,31942,1445,1864,27692,232,280,36648,42,33271,239,351,271,12830,895,110,9592,313,551685,27,17,1057,10,42185,242711,26296,75,87,9939,1119,216,174230,199,769630,3696,141,248668,124,19,240,12,7,60,30,237051,0,151,16744,1503,2081,61,157706,68,7983,625,10757,338,219
"BHS",6,2361,1,1,0,23,NA,272,196,4701,3606,0,0,68,1,1577,3628,2,26,1,0,3882,0,2,1579,17333,65,0,3976,1394,0,12,19,9512,11,81,1,1,0,2,649,1125,557,339,1452,153,1006,0,1001,11010,30377,520,165,3,448,0,0,38,7,7,6437,0,105,43,9,0,43,15,165,16,0,2810,571,9,23,21,4435,1218,2145,2,580,50,5,209,0,15,342,3,320,0,221,0,0,3,132,0,4654,291,43,147,668,1777432,619,37,0,2095,21,9
"BLZ",8,336,0,0,6,1,337,NA,173,555,1063,0,0,5,0,221,348,0,7,0,0,1143,0,0,3806,180,39,3,348,341,0,9,19,2558,0,7,0,0,0,2,69459,270,8493,5,6,37,243,1,64,1507,1500,556,23,1,87,0,0,9,0,0,12072,3,14,2,3,0,5,3,6,4,0,66,2470,4,3,3,1360,373,79,3,53,14,0,9,0,2,30,1,6659,0,103,0,0,0,40,0,838,29,3,0,50,304992,97,3,1,92,1,4
"BOL",26,613185,3,1,12,22,271,157,NA,195184,65,0,0,1,2,504314,5023,14,32,6,24,38922,1,12,2976,8760,9,0,18465,16266,0,39,6,7919,27,16,2,1,2,25,1808,47,839,22,223,22,283,29,307,9886,196,18005,34,3,999,2,5,10,3,3,27902,4,14,3,31,1,7,9,55,7,0,9,1345,18,35,10,11418,258838,51,33,39110,63,8,65,4,38,56,5,918,0,78,0,0,1,110,0,368,169,34,58,12176,158062,9971,9,0,226,12,7
"BRA",118481,3042433,124,483,271,1296,6136,558,195184,NA,6119,16,1,391,449,857626,138551,1091,941,599,976,256819,1,11611,30722,37239,838,7,180065,55528,5,2164,160,389328,293,2899,383,34,1635,726,9493,883,5951,63260,8857,7632,43869,5085,78195,663431,3875,104119,2558,224,66294,82,118,880,456,2155,394591,307,3854,520,11895,117,1541,309,18297,1424,59,17984,6178,713,842,2027,98429,274711,18005,39,491834,5049,148,2475,418,1874,26652,85,8916,11,22480,2,89,1189,48673,0,6968,82777,1087,691,696419,3194545,165091,2118,11,56599,990,829
"BRB",17,688,0,3,2,13,4131,929,54,6181,NA,1,0,20,0,277,1148,6,6,4,0,1644,0,5,789,506,29,4,1696,230,0,14,25,1933,18,28,0,259,0,7,323,21487,241,88,794,219,2720,1,254,4904,18061,159,99,3,171,0,0,30,7,8,1641,4,102,3,5,0,43,27,119,10,0,4192,155,41,7,72,1564,422,1063,4,21,82,21,88,2,13,83,2,209,0,1768,0,0,0,100,0,79730,225,35,39,130,253211,2653,11,0,698,7,30
"BRN",2,15,0,0,0,14680,0,0,0,16,1,NA,0,1,0,2,43910,26,10,0,1,7,0,0,2,0,14,0,0,4,1,7,35,720,9,2,0,0,0,3,0,0,3,58,0,46150,10498,21,2,246,0,6870,6,1737,5216,990,0,858,0,57,19,0,9,1480,4,1,3,0,1191541,0,0,81,0,2090,526,653,3,0,76723,34,0,281,0,5344,13,0,89824,1,0,0,10,0,0,0,24089,0,20,504,5,6,0,5105,7,11418,2,107,0,0
"BTN",0,0,0,0,0,15391,0,0,0,0,0,1,NA,0,0,79,10149,0,0,0,0,61,0,0,14,0,1,0,0,7,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,144040,0,175,0,0,75,0,235,972,4,0,415,0,1,276,0,0,8,0,0,6,0,2057,0,0,0,0,89558,0,3,0,2,108,0,0,1,0,3,0,0,1558,0,0,0,0,0,0,0,31039,0,0,1,10,96,0,7886,0,5,0,84,0,0
"BWA",2507,78,85,125,33,547,68,3,0,299,20,0,0,NA,2,41,8376,268,293,537,135,53,81,11,20,27,169,58,2,11,91,1440,10,2827,98,873,6,30,3,27,1,7,0,40,0,104,14483,29,1309,1822,27,774,6650,24,1935,5,33,1645,602,53,571,157,60,11,3915,20,2492,2256,673,126585,31,1734,28,32,75,1068,22,42,312,4,2,239,444,115,79,231,470,56,3,1,0,13078,20,34,916,0,72,472,5431,1621,4,39375,0,47,7,1112903,10370,701414
"CAF",351,0,242,8687,408,38,0,0,3,402,0,0,0,2,NA,2,3315,1341,43422,298,11923,1,3,8,3,0,9,3,5,1,1,373,2,8403,463,233,94,17,10,4095,2,0,2,18,53,13,201,0,65,2079,7,21,894,16,12,3,34,20,33,0,6,2223,3,3,12,79,15,3,3,1,313,8184,0,12,4,46,1,19,29,8,5,8,1804,26,120,1399,4,27,0,3,0,0,268,894,38,0,0,142,69,433,3,5115,0,8,5,1251,72,66
"CHL",757,3089193,3,5,15,73,1577,161,504314,834107,299,0,79,58,3,NA,34600,27,67,19,9,469991,0,11,18757,70981,131,2,131461,73403,0,86,94,59089,10,108,29,3,0,201,5634,257,3692,1175,4440,1312,8328,304,24468,103610,6947,20831,349,4981,20161,11,3,502,46,262,174995,17,188,109,267,71,97,5,5909,92,3,5214,2582,793,36,425,30515,1344441,2521,11,43383,602,21,266,8,94,6306,3,4469,0,195,0,10,9,3608,0,600,18640,196,39,91073,495671,60878,369,1,5087,135,37
"CHN",93384,31957,1513,13997,7474,140686,3628,354,4681,138551,1148,43910,10149,7488,3315,34600,NA,9184,20093,16692,22381,47592,305,496,15342,36505,13050,2969,4928,26922,471,73307,44443,2683930,9270,19854,7586,241,174,7790,915,1041,5218,106855,229,1805462,936812,203131,123054,708855,9816,7491346,54244,737167,12085035,537572,1849,272842,13291,366362,166189,19793,4141,2247050,16010,4127,110155,2995,2751969,13749,5983,254585,2042,117646,18982,149117,25904,35708,1494849,11686,2239,45671,8107,150376,32332,10140,3011433,2458,3249,142,5349,2659,11300,3503,8622890,6390,5308,399724,48484,32178,3604,4677133,51628,3941674,21979,150142,28036,10522
"CIV",2022,56,843,64975,42474,529,5,0,25,1102,4,10,0,265,1207,16,8354,NA,30953,4359,9221,220,142,551,43,34,210,223,23,60,69,2880,13,156238,22800,50186,18866,966,1235,878,19,1,68,641,101,606,7667,285,1618,21342,56,949,4809,36,1312,34,7191,133,1207,47,137,39469,257,74,744,2967,840,205,884,301,12019,45699,15,60,75,883,25,65,2544,3,31,261,887,2718,471,48143,979,5407,36,24,14,1,3776,29639,742,0,43,5476,1258,1601,23,21312,47,351,23,10726,796,656
