"AGO","ARG","BDI","BEN","BFA","BGD","BHS","BLZ","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CUB","CYP","DJI","DOM","ECU","ERI","ETH","FJI","FRA","GAB","GHA","GIN","GMB","GNB","GNQ","GTM","GUY","HND","HRV","HTI","IDN","IND","IRN","ISR","ITA","JAM","JPN","KEN","KHM","KOR","LAO","LBR","LKA","MDG","MDV","MEX","MLI","MLT","MMR","MOZ","MRT","MUS","MWI","MYS","NAM","NER","NGA","NIC","NPL","OMN","PAK","PAN","PER","PHL","PNG","PRY","QAT","RWA","SAU","SDN","SEN","SGP","SLE","SLV","SOM","SUR","SWZ","TCD","TGO","THA","TLS","TTO","TUR","TZA","UGA","URY","USA","VEN","VNM","YEM","ZAF","ZMB","ZWE"
0,6.22498114923259e-07,7.90395871471961e-08,5.03693269646107e-07,6.7257288442024e-08,1.93916999522624e-07,5.89114935258604e-09,0,1.91462353959046e-08,5.81657722036456e-05,9.32765314159457e-09,1.47278733814651e-09,0,1.23075928557777e-06,2.00790007100641e-07,3.71633338325636e-07,4.58449242618246e-05,1.01573233420838e-06,1.09379006313014e-06,1.092317275792e-06,7.57601806742565e-06,5.93042368160328e-07,3.43650378900853e-09,2.56706833038937e-06,2.16008809594822e-08,4.69671882134922e-06,1.5071523760366e-07,7.36393669073256e-09,1.86553062831891e-08,1.91953283071762e-07,7.85486580344806e-09,8.92509126916786e-07,1.96371645086201e-09,1.53376073394578e-05,3.00448616981888e-07,1.28819799176548e-06,1.58668289229651e-06,1.88025850170038e-07,2.57737784175639e-07,9.67130352049542e-08,5.40022023987054e-09,0,1.11931837699135e-07,1.11637280231506e-06,1.96371645086201e-09,9.47493187540922e-07,6.97364804612373e-06,3.09285341010767e-08,2.37560597643032e-06,4.69082767199664e-06,5.89114935258604e-09,4.51654783698263e-07,1.73592534256202e-06,5.84205644131449e-08,7.12829071662911e-07,6.87300757801705e-09,2.8719353093857e-07,1.35496435109479e-07,1.21259490840729e-07,6.57845011038775e-08,3.60832897845895e-07,4.9240190005365e-07,1.18313916164436e-07,3.78015416790938e-08,4.65842635055741e-06,1.28476148797647e-06,3.09776270123483e-07,9.86767516558162e-08,5.91569580822182e-07,0.00024965856376768,1.57097316068961e-08,9.02671359549997e-06,1.03095113670256e-08,5.05656986096969e-08,5.35112732859899e-08,4.2907204451335e-07,2.2386367539827e-07,1.53660812279953e-07,5.80278211229725e-06,9.81858225431007e-10,5.09093489885977e-07,8.78763111760752e-08,1.9980814887521e-07,9.42583896413767e-08,1.33041789545901e-07,5.46895031565071e-07,1.06727989104351e-06,2.08644872904089e-07,2.45464556357752e-09,7.36393669073256e-09,4.90929112715504e-10,7.36393669073256e-09,5.98933517512914e-08,4.41836201443953e-08,1.78747289939715e-06,0,2.38100619667019e-07,9.39638321737474e-07,5.19893930365718e-07,5.75859849215286e-07,1.05058830121118e-07,1.3949750737811e-05,2.32700399427149e-07,6.8302967452108e-06,1.96371645086201e-09,5.34062144558688e-05,1.33434532836074e-06,1.54397205949026e-06
4.10911999946715e-07,0,2.54237896332074e-09,5.72035266747167e-09,6.03815003788676e-09,4.7987402932679e-08,1.04173978022067e-06,9.66104006061882e-08,0.000194868580577979,0.000966877207064102,2.20233577697659e-07,3.49577107456602e-09,0,2.4152600151547e-08,1.58898685207546e-09,0.000981737412104712,1.19180369853068e-05,2.12924238178112e-08,1.62076658911697e-08,1.49364764095094e-08,1.17585027053584e-08,8.08002992254077e-05,0,9.53392111245278e-09,6.70616011049929e-06,3.8263438992718e-05,1.97034369657358e-07,3.81356844498111e-09,5.79414521688205e-05,5.49802162712927e-05,3.17797370415093e-10,4.7987402932679e-08,2.31992080403018e-08,3.13046299727387e-05,1.52542737799245e-08,5.84747161563771e-08,1.58898685207546e-09,1.27118948166037e-09,7.62713688996223e-09,3.46399133752451e-08,2.32786573829055e-06,5.52967424522261e-08,9.64515019209806e-07,8.40256247377505e-07,3.59746623309885e-07,3.21610938860074e-07,2.50233649464844e-06,1.40784235093886e-07,1.04418681997287e-05,6.0978959435248e-05,1.13835018082686e-06,5.94789558468888e-06,1.90360624878641e-07,1.62076658911697e-08,2.33072591462429e-06,8.26273163079241e-09,5.72035266747167e-09,4.51272265989432e-08,1.77966527432452e-08,6.41950688238487e-08,0.000110525158469813,3.81356844498111e-09,1.47140182502188e-07,3.49577107456602e-08,1.31568111351848e-07,1.27118948166037e-09,8.10383294558486e-08,4.4491631858113e-09,6.07946369604072e-07,7.08688136025657e-08,3.17797370415093e-10,1.77013135321207e-07,7.38561088844675e-07,5.21187687480752e-08,4.73518081918488e-08,7.97671399741883e-08,1.04580758656199e-05,7.96117370600553e-05,8.31357921005883e-07,5.08475792664148e-09,0.000497325236328394,1.06048982507516e-06,1.93856395953207e-08,2.23729348772225e-07,6.03815003788676e-09,2.69492170111999e-07,7.19175449249355e-07,3.81356844498111e-09,8.62502063306562e-07,0,7.21400030842261e-08,0,2.86017633373584e-09,3.81356844498111e-09,3.96356880381704e-06,0,3.40678781084979e-07,1.04746013288815e-05,7.69069636404524e-08,5.87925135267921e-08,0.000778489150463628,0.00036121294037698,3.97377009940736e-05,2.86971025484829e-07,2.22458159290565e-09,3.29365194698202e-06,4.48094292285281e-08,4.48094292285281e-08
2.37135888753781e-07,8.08417802569707e-09,0,5.22776845661744e-07,3.44924929096408e-07,2.50609518796609e-07,2.69472600856569e-09,0,3.36840751070711e-08,1.8458873158675e-07,0,0,0,1.05094314334062e-07,3.61093285147802e-07,4.04208901284853e-09,1.77717180264907e-06,1.07250095140914e-06,2.15578080685255e-06,1.37835235338135e-06,8.95996397848092e-07,1.07789040342628e-08,7.67996912441222e-08,1.21262670385456e-08,1.34736300428284e-09,1.34736300428284e-09,1.61683560513941e-08,2.97767223946509e-07,1.34736300428284e-09,2.69472600856569e-09,1.21262670385456e-08,5.59694591979094e-06,0,3.46945973602833e-06,7.30270748321302e-07,2.73514689869418e-07,9.83574993126477e-08,1.88630820599598e-08,1.88630820599598e-08,6.73681502141422e-08,5.38945201713138e-09,0,0,3.77261641199197e-08,5.79366091841623e-08,3.90735271242025e-08,1.72462464548204e-06,4.98524311584653e-08,2.60041059826589e-07,1.8378031378418e-06,0,9.43154102997991e-08,2.89440520580041e-05,1.48209930471113e-08,2.34441162745215e-07,4.04208901284853e-09,4.3115616137051e-08,2.96419860942226e-08,3.69177463173499e-07,5.38945201713138e-09,1.7515719055677e-08,6.2517643398724e-07,4.04208901284853e-09,1.07789040342628e-08,4.23071983344813e-07,7.54523282398393e-08,2.69472600856569e-07,1.76504553561053e-07,3.09893490985054e-08,7.54523282398393e-08,2.81598867895115e-07,4.54061332443319e-07,0,1.68420375535356e-07,2.06281275955703e-06,1.89978183603881e-07,0,3.09893490985054e-08,6.33260612012937e-08,0,1.34736300428284e-09,1.06441677338345e-07,2.84158857603252e-05,1.21397406685884e-06,7.94944172526878e-07,1.23957396394022e-06,3.5031438111354e-08,3.23367121027883e-08,0,3.63788011156368e-08,2.69472600856569e-09,2.69472600856569e-09,4.6888232549043e-07,1.85936094591033e-07,3.38188114074994e-07,0,4.04208901284853e-09,3.16630306006469e-07,8.8279224040612e-06,3.64623376219023e-05,4.3115616137051e-08,3.61228021448231e-06,0,5.52418831755966e-07,2.02104450642427e-08,4.61337092666446e-06,1.01860643123783e-06,5.25471571670309e-07
1.35909306742774e-06,1.94156152489677e-08,5.06100370823092e-07,0,2.7536519920436e-05,2.8476235698486e-08,1.29437434993118e-09,0,0,7.15789015511944e-07,3.88312304979355e-09,0,0,1.61796793741398e-07,1.11588012707567e-05,1.03549947994495e-08,1.81173577759868e-05,8.78698971194283e-05,8.39699472030856e-05,2.32728508117627e-06,5.77265072582309e-05,1.73446162890778e-07,5.30693483471785e-08,2.58874869986236e-07,1.29437434993118e-09,6.86018405463527e-08,5.17749739972473e-09,5.82468457469032e-08,9.06062044951828e-09,9.06062044951828e-09,9.06062044951828e-09,2.03087335504203e-06,1.29437434993118e-09,7.22144393570106e-05,7.83135312938863e-05,8.32541581875737e-06,2.76090048840321e-06,1.14940442273889e-06,7.26144010311393e-07,2.73980218649933e-05,5.17749739972473e-09,0,0,4.2714353547729e-08,2.52402998236581e-07,5.04805996473161e-08,3.86629618324444e-06,9.06062044951828e-08,3.52069823181282e-07,5.56063220730436e-06,7.76624609958709e-09,4.28437909827221e-07,1.9467390222965e-06,9.06062044951828e-09,2.21338013838232e-07,3.88312304979355e-09,2.65346741735892e-07,5.30693483471785e-08,1.07303633609295e-06,5.17749739972473e-09,1.09245195134192e-06,9.7466388549818e-06,5.95412200968344e-08,3.88312304979355e-09,2.05805521639058e-07,7.79213358658572e-07,1.26848686293256e-07,5.30693483471785e-08,1.81212408990366e-07,5.30693483471785e-08,5.38848041876351e-06,0.00024150048308711,3.62424817980731e-08,5.17749739972473e-09,2.32987382987613e-08,1.12610568444013e-07,1.81212408990366e-08,1.94156152489677e-08,3.27476710532589e-07,0,3.88312304979355e-09,1.41086804142499e-07,1.72410663410833e-06,5.95929950708316e-06,1.55324921991742e-07,2.14866142088576e-05,5.04805996473161e-08,5.77290960069307e-07,0,3.88312304979355e-09,7.1190589246215e-08,0,2.82044170850005e-06,4.07352551666842e-05,1.30731809343049e-07,0,1.68268665491054e-08,2.17843203093418e-06,5.65641590919927e-07,7.09317143762288e-07,6.47187174965591e-09,8.7667974720839e-06,1.55324921991742e-08,3.36537330982107e-08,0,4.82542757654345e-06,2.17454890788439e-07,1.34614932392843e-07
1.0657753467688e-07,1.66291188857544e-08,1.72338141179636e-07,1.60803579625245e-05,0,1.81408569662775e-08,7.55869040261563e-10,6.80282136235407e-09,1.05821665636619e-08,1.95014212387483e-07,1.51173808052313e-09,0,0,5.13990947377863e-08,2.32807664400561e-07,1.43615117649697e-08,5.64936520691492e-06,3.38840973368453e-05,2.69618486661299e-06,4.68638804962169e-07,9.26695443360676e-07,2.19202021675853e-08,1.51173808052313e-08,1.51929677092574e-07,7.55869040261563e-10,8.16338563482488e-08,1.51173808052313e-08,6.12253922611866e-08,9.07042848313875e-09,9.07042848313875e-09,1.51173808052313e-09,1.47394462851005e-06,5.29108328183094e-09,4.38071460973991e-05,2.33336772728744e-06,1.03433119469392e-05,2.67275292636489e-06,2.44901569044746e-07,7.98953575556472e-07,1.32277082045774e-07,3.02347616104625e-09,5.29108328183094e-09,7.55869040261563e-10,4.30845352949091e-08,8.54132015495566e-08,7.40751659456332e-08,8.76052217663151e-07,4.53521424156938e-08,4.18751448304906e-07,1.07575281810026e-05,0,4.31601221989352e-07,1.22601958330425e-06,1.28497736844466e-08,1.71582272139375e-07,1.05821665636619e-08,1.10356879878188e-07,1.36056427247081e-08,1.77629224461467e-07,0,2.87230235299394e-08,1.40100326612481e-05,1.09601010837927e-07,1.51173808052313e-09,1.18671439321065e-07,6.17545005893697e-07,7.02958207443254e-08,3.93051900936013e-08,3.40141068117703e-08,2.26760712078469e-08,1.00220676048281e-05,2.10131593192714e-05,5.29108328183094e-09,1.05821665636619e-08,9.82629752340032e-09,3.77934520130781e-08,2.26760712078469e-09,4.30845352949091e-08,1.0657753467688e-07,7.55869040261563e-10,2.26760712078469e-09,1.79896831582252e-07,2.78159806816255e-07,1.98037688548529e-06,3.35605853876134e-07,1.6078846224444e-05,6.12253922611866e-08,1.32277082045774e-07,7.55869040261563e-10,1.51173808052313e-09,9.82629752340032e-09,0,1.67651753130015e-06,1.78029835052806e-05,1.81408569662775e-07,0,0,4.35607327902739e-06,3.09906306507241e-07,5.01141173693416e-07,2.26760712078469e-09,8.62144227322338e-06,7.55869040261563e-10,3.55258448922935e-08,1.51173808052313e-09,1.72640488795741e-06,1.31521213005512e-07,9.675123715348e-08
2.11134557269311e-08,2.43549406310658e-08,2.73336024348652e-08,2.45301560312893e-09,1.31411550167621e-09,0,2.27780020290543e-09,1.75215400223495e-10,1.25279011159799e-08,1.46042036086283e-07,1.83976170234670e-09,1.4065416252941e-06,1.33286354950012e-06,4.61692579588909e-08,4.73081580603436e-09,5.51928510704008e-09,1.23725726636817e-05,4.17888729533035e-08,1.15642164147507e-08,1.16518241148624e-08,2.19019250279368e-09,7.44665450949853e-09,2.62823100335242e-10,5.25646200670484e-10,1.13890010145272e-09,1.92736940245844e-09,2.67816739241612e-07,1.8397617023467e-08,1.75215400223495e-09,2.10258480268194e-09,5.95732360759882e-09,7.26267833926386e-08,1.5594170619891e-08,1.24858494199262e-06,2.89105410368766e-09,4.27525576545327e-08,2.27780020290543e-09,2.89105410368766e-09,2.62823100335242e-10,4.11756190525213e-09,8.76077001117474e-10,1.92736940245844e-09,1.57693860201145e-09,2.44425483311775e-08,4.81842350614611e-09,1.83897323304569e-06,3.77495447242512e-05,6.14918447084355e-07,5.08124660648135e-09,6.53395748973434e-06,2.19019250279368e-09,2.79836515696943e-06,1.26593126661475e-07,1.63300753008297e-07,2.42603243149451e-06,2.03249864259254e-08,2.45301560312893e-08,3.21064699369532e-06,3.67952340469339e-09,2.91479579041795e-06,2.09382403267076e-08,3.07503027392233e-08,2.37416867302835e-08,1.12400679243372e-06,7.84088916000139e-08,9.63684701229221e-09,8.40333059471881e-07,2.74212101349769e-08,4.83318540361494e-05,2.36540790301718e-09,1.48933090189971e-09,9.2601339018117e-08,8.76077001117474e-10,3.69573082921406e-06,2.12633525018223e-05,2.30373208213851e-06,6.57057750838105e-09,7.62186990972202e-09,8.70732931410657e-07,9.80330164250453e-08,1.89232632241374e-08,1.52638895904697e-05,1.74339323222377e-08,6.74255142370041e-05,3.23798059613018e-07,1.23526857157564e-08,2.1785231571388e-05,1.08633548138567e-08,1.6645463021232e-09,2.10258480268194e-08,1.05129240134097e-09,6.13253900782232e-10,5.25646200670484e-09,2.62823100335242e-09,2.07674929191898e-05,0,1.32287627168739e-08,1.4669033306711e-06,1.31674373267956e-07,1.82311623932546e-07,5.34406970681659e-09,1.38162599538232e-05,5.95732360759882e-09,6.99372269992079e-07,5.47548125698421e-08,9.42396030102066e-07,2.96114026377706e-08,1.91860863244727e-08
2.19496321511056e-07,8.63718025146005e-05,3.65827202518427e-08,3.65827202518427e-08,0,8.41402565792381e-07,0,9.9504999085012e-06,7.17021316936116e-06,0.000171975367903912,0.000131917289228145,0,0,2.4876249771253e-06,3.65827202518427e-08,5.76909498371559e-05,0.000132722109073685,7.31654405036853e-08,9.51150726547909e-07,3.65827202518427e-08,0,0.000142014120017653,0,7.31654405036853e-08,5.77641152776596e-05,0.000634088290125189,2.37787681636977e-06,0,0.000145452895721326,5.09963120310687e-05,0,4.38992643022112e-07,6.9507168478501e-07,0.000347974835035527,4.02409922770269e-07,2.96320034039926e-06,3.65827202518427e-08,3.65827202518427e-08,0,7.31654405036853e-08,2.37421854434459e-05,4.1155560283323e-05,2.03765751802764e-05,1.24015421653747e-05,5.31181098056755e-05,5.59715619853193e-06,3.68022165733537e-05,0,3.66193029720945e-05,0.000402775749972788,0.00111127329309022,1.90230145309582e-05,6.03614884155404e-06,1.09748160755528e-07,1.63890586728255e-05,0,0,1.39014336957002e-06,2.56079041762899e-07,2.56079041762899e-07,0.000235482970261111,0,3.84118562644348e-06,1.57305697082923e-06,3.29244482266584e-07,0,1.57305697082923e-06,5.4874080377764e-07,6.03614884155404e-06,5.85323524029482e-07,0,0.000102797443907678,2.08887332638022e-05,3.29244482266584e-07,8.41402565792381e-07,7.68237125288696e-07,0.000162244364316922,4.45577532667444e-05,7.84699349402025e-05,7.31654405036853e-08,2.12179777460687e-05,1.82913601259213e-06,1.82913601259213e-07,7.64578853263512e-06,0,5.4874080377764e-07,1.25112903261302e-05,1.09748160755528e-07,1.17064704805897e-05,0,8.08478117565723e-06,0,0,1.09748160755528e-07,4.82891907324323e-06,0,0.000170255980052076,1.06455715932862e-05,1.57305697082923e-06,5.37765987702087e-06,2.44372571282309e-05,0.0650232976226732,2.26447038358906e-05,1.35356064931818e-06,0,7.66407989276104e-05,7.68237125288696e-07,3.29244482266584e-07
3.03425165818082e-07,1.27438569643595e-05,0,0,2.27568874363562e-07,3.79281457272603e-08,1.27817851100867e-05,0,6.56156921081603e-06,2.10501208786295e-05,4.03176189080777e-05,0,0,1.89640728636301e-07,0,8.38212020572452e-06,1.31989947130866e-05,0,2.65497020090822e-07,0,0,4.33518705662585e-05,0,0,0.000144354522637953,6.82706623090685e-06,1.47919768336315e-06,1.13784437181781e-07,1.31989947130866e-05,1.29334976929958e-05,0,3.41353311545343e-07,7.20634768817946e-07,9.70201967703318e-05,0,2.65497020090822e-07,0,0,0,7.58562914545206e-08,0.00263445107406977,1.02405993463603e-05,0.000322123741661622,1.89640728636301e-07,2.27568874363562e-07,1.40334139190863e-06,9.21653941172425e-06,3.79281457272603e-08,2.42740132654466e-06,5.71577156109813e-05,5.68922185908904e-05,2.10880490243567e-05,8.72347351726987e-07,3.79281457272603e-08,3.29974867827165e-06,0,0,3.41353311545343e-07,0,0,0.000457868575219486,1.13784437181781e-07,5.30994040181644e-07,7.58562914545206e-08,1.13784437181781e-07,0,1.89640728636301e-07,1.13784437181781e-07,2.27568874363562e-07,1.51712582909041e-07,0,2.50325761799918e-06,9.36825199463329e-05,1.51712582909041e-07,1.13784437181781e-07,1.13784437181781e-07,5.1582278189074e-05,1.41471983562681e-05,2.99632351245356e-06,1.13784437181781e-07,2.0101917235448e-06,5.30994040181644e-07,0,3.41353311545343e-07,0,7.58562914545206e-08,1.13784437181781e-06,3.79281457272603e-08,0.000252563522397826,0,3.90659900990781e-06,0,0,0,1.51712582909041e-06,0,3.17837861194441e-05,1.09991622609055e-06,1.13784437181781e-07,0,1.89640728636301e-06,0.0115677810216486,3.67903013554425e-06,1.13784437181781e-07,3.79281457272603e-08,3.48938940690795e-06,3.79281457272603e-08,1.51712582909041e-07
3.27441929992988e-08,0.000772240307087501,3.77817611530371e-09,1.25939203843457e-09,1.51127044612148e-08,2.77066248455605e-08,3.41295242415768e-07,1.97724550034227e-07,0,0.000245813175629813,8.1860482498247e-08,0,0,1.25939203843457e-09,2.51878407686914e-09,0.000635129036471091,6.32592620905684e-06,1.7631488538084e-08,4.03005452299062e-08,7.55635223060742e-09,3.02254089224297e-08,4.90180569199503e-05,1.25939203843457e-09,1.51127044612148e-08,3.74795070638128e-06,1.10322742566868e-05,1.13345283459111e-08,0,2.32546739896943e-05,2.04852708971767e-05,0,4.91162894989482e-08,7.55635223060742e-09,9.97312555236335e-06,3.40035850377334e-08,2.01502726149531e-08,2.51878407686914e-09,1.25939203843457e-09,2.51878407686914e-09,3.14848009608642e-08,2.2769808054897e-06,5.91914258064248e-08,1.0566299202466e-06,2.77066248455605e-08,2.80844424570909e-07,2.77066248455605e-08,3.56407946876983e-07,3.65223691146025e-08,3.86633355799413e-07,1.24503496919642e-05,2.46840839533176e-07,2.26753536520144e-05,4.28193293067754e-08,3.77817611530371e-09,1.25813264639613e-06,2.51878407686914e-09,6.29696019217285e-09,1.25939203843457e-08,3.77817611530371e-09,3.77817611530371e-09,3.51395566564013e-05,5.03756815373828e-09,1.7631488538084e-08,3.77817611530371e-09,3.90411531914716e-08,1.25939203843457e-09,8.81574426904199e-09,1.13345283459111e-08,6.92665621139013e-08,8.81574426904199e-09,0,1.13345283459111e-08,1.6938822916945e-06,2.26690566918222e-08,4.40787213452099e-08,1.25939203843457e-08,1.43797382948459e-05,0.000325978516444327,6.4228993960163e-08,4.15599372683408e-08,4.9254822623176e-05,7.93416984213779e-08,1.00751363074766e-08,8.1860482498247e-08,5.03756815373828e-09,4.78568974605136e-08,7.05259541523359e-08,6.29696019217285e-09,1.15612189128293e-06,0,9.82325789978964e-08,0,0,1.25939203843457e-09,1.38533124227803e-07,0,4.63456270143922e-07,2.12837254495442e-07,4.28193293067754e-08,7.3044738229205e-08,1.53343574599793e-05,0.000199062024379045,1.25573980152311e-05,1.13345283459111e-08,0,2.84622600686213e-07,1.51127044612148e-08,8.81574426904199e-09
7.93222743065684e-06,0.000203688950114665,8.30172096286702e-09,3.23365421376191e-08,1.81432772656207e-08,8.67663739344811e-08,4.1080128893671e-07,3.73577443329016e-08,1.30674443904535e-05,0,4.09663149772446e-07,1.07118980166026e-09,6.69493626037663e-11,2.61772007780726e-08,3.00602638090911e-08,5.74175140524177e-05,9.27590113811443e-06,7.3041754600709e-08,6.29993502101441e-08,4.0102668199656e-08,6.53425779012759e-08,1.71938683545367e-05,6.69493626037663e-11,7.7734904919233e-07,2.05681831791291e-06,2.49312731400165e-06,5.61035658619562e-08,4.68645538226364e-10,1.20552369772472e-05,3.71756420666194e-06,3.34746813018832e-10,1.4487842067455e-07,1.07118980166026e-08,2.60652614437991e-05,1.96161632429035e-08,1.94086202188319e-07,2.56416058772425e-08,2.27627832852805e-09,1.09462207857158e-07,4.86052372503343e-08,6.35550299197554e-07,5.91162871791257e-08,3.98415656855013e-07,4.23521667831426e-06,5.92970504581558e-07,5.10957535391944e-07,2.93700158806462e-06,3.40437508840152e-07,5.23510540880151e-06,4.44162825815793e-05,2.59428780089594e-07,6.97070068494154e-06,1.71256469540434e-07,1.49966572232437e-08,4.43834104445408e-06,5.48984773350884e-09,7.90002478724442e-09,5.89154390913144e-08,3.05289093473174e-08,1.44275876411116e-07,2.64176159391827e-05,2.05534543193563e-08,2.58022843474915e-07,3.48136685539585e-08,7.963626681718e-07,7.83307542464066e-09,1.03168967772404e-07,2.06873530445638e-08,1.22497248756111e-06,9.53358923477632e-08,3.95001239362221e-09,1.20401733706613e-06,4.13613162166068e-07,4.77348955364854e-08,5.63713633123712e-08,1.35706357997834e-07,6.58975881172611e-06,1.83917263502432e-05,1.20542327368081e-06,2.61102514154689e-09,3.29279728068608e-05,3.38027331786416e-07,9.90850566535741e-09,1.65699672444322e-07,2.79848335683743e-08,1.25463105519458e-07,1.78433441211558e-06,5.69069582132014e-09,5.9692051697518e-07,7.36442988641429e-10,1.50502167133267e-06,1.33898725207533e-10,5.9584932717352e-09,7.96027921358781e-08,3.25862632601312e-06,0,4.66503158623044e-07,5.54186738825196e-06,7.2773957150294e-08,4.62620095592025e-08,4.66248081551523e-05,0.000213872751559049,1.10527372216184e-05,1.41798749994777e-07,7.36442988641429e-10,3.78926697401057e-06,6.62798689777287e-08,5.55010215985223e-08
