country,GNI,GID_0
Singapore,102450,SGP
Qatar,100450,QAT
Bermuda,91950,BMU
Luxembourg,83230,LUX
Norway,82840,NOR
Ireland,79370,IRL
Switzerland,75810,CHE
"Macao SAR, China",72940,MAC
United Arab Emirates,71280,ARE
"Hong Kong SAR, China",70600,HKG
United States,70480,USA
Denmark,66720,DNK
Brunei Darussalam,66480,BRN
Netherlands,63370,NLD
Sweden,61090,SWE
Germany,59630,DEU
Belgium,59430,BEL
Austria,58370,AUT
Finland,55940,FIN
Kuwait,55930,KWT
Iceland,55890,ISL
Australia,55660,AUS
San Marino,53680,SMR
Cayman Islands,52500,CYM
Canada,51690,CAN
France,51660,FRA
United Kingdom,49420,GBR
"Korea, Rep.",47770,KOR
Bahrain,46900,BHR
Italy,46450,ITA
Saudi Arabia,46130,SAU
New Zealand,45440,NZL
Malta,45370,MLT
Japan,44570,JPN
Israel,44060,ISR
Czech Republic,43360,CZE
Slovenia,43040,SVN
Estonia,41520,EST
Aruba,41430,ABW
Lithuania,41170,LTU
Spain,40910,ESP
Cyprus,40380,CYP
Poland,36060,POL
Hungary,35640,HUN
Portugal,35390,PRT
Romania,35260,ROU
Oman,35120,OMN
Croatia,34620,HRV
Latvia,33760,LVA
Slovak Republic,32450,SVK
Russian Federation,32070,RUS
Greece,31480,GRC
"Bahamas, The",31010,BHS
TÅrkiye,30290,TUR
Seychelles,29800,SYC
Panama,29720,PAN
St. Kitts and Nevis,28420,KNA
Malaysia,28150,MYS
Bulgaria,27200,BGR
Chile,27020,CHL
Trinidad and Tobago,25210,TTO
Kazakhstan,25160,KAZ
Puerto Rico,24760,PRI
Libya,24330,LBY
Cura?ao,23790,CUW
Montenegro,23770,MNE
Mauritius,23380,MUS
Argentina,23170,ARG
Uruguay,22950,URY
Guyana,22920,GUY
Nauru,21820,NRU
Costa Rica,21810,CRI
Belarus,20860,BLR
Antigua and Barbuda,20770,ATG
Serbia,20670,SRB
Turks and Caicos Islands,20550,TCA
Mexico,19740,MEX
Dominican Republic,19440,DOM
China,19160,CHN
Maldives,18770,MDV
Thailand,18120,THA
North Macedonia,17410,MKD
Bosnia and Herzegovina,17120,BIH
Colombia,16540,COL
"Iran, Islamic Rep.",16540,IRN
Georgia,15950,GEO
Moldova,15810,MDA
Brazil,15600,BRA
Azerbaijan,15520,AZE
Albania,15490,ALB
Palau,15490,PLW
Botswana,15420,BWA
Armenia,15140,ARM
Turkmenistan,15050,TKM
St. Vincent and the Grenadines,14970,VCT
Barbados,14810,BRB
Paraguay,14600,PRY
Sri Lanka,14370,LKA
South Africa,14340,ZAF
Grenada,14150,GRD
Suriname,14090,SUR
Ukraine,13860,UKR
St. Lucia,13810,LCA
Lebanon,13700,LBN
Kosovo,13300,XKX
Gabon,12800,GAB
Peru,12780,PER
Indonesia,12680,IDN
"Egypt, Arab Rep.",12320,EGY
Dominica,11990,DMA
Equatorial Guinea,11990,GNQ
Algeria,11860,DZA
Ecuador,11540,ECU
Bhutan,11250,BTN
Vietnam,11080,VNM
Mongolia,10950,MNG
Tunisia,10910,TUN
Fiji,10720,FJI
Jamaica,10240,JAM
Jordan,10080,JOR
Namibia,9850,NAM
Iraq,9750,IRQ
Guatemala,9590,GTM
El Salvador,9420,SLV
Belize,9330,BLZ
Philippines,9210,PHL
Eswatini,8950,SWZ
Morocco,8730,MAR
Bolivia,8620,BOL
Uzbekistan,8520,UZB
Lao PDR,8100,LAO
Marshall Islands,7410,MHL
West Bank and Gaza,7370,PSE
Tuvalu,7210,TUV
India,7130,IND
Tonga,7130,TON
Bangladesh,6840,BGD
Cabo Verde,6590,CPV
Angola,5980,AGO
Samoa,5970,WSM
Ghana,5820,GHA
Nicaragua,5800,NIC
Mauritania,5750,MRT
Pakistan,5680,PAK
C?te d'Ivoire,5670,CIV
Honduras,5620,HND
Djibouti,5300,DJI
Nigeria,5200,NGA
Tajikistan,5180,TJK
Kenya,5130,KEN
Kyrgyz Republic,4860,KGZ
Cambodia,4540,KHM
Sío Tom? and Principe,4500,STP
Myanmar,4310,MMR
Nepal,4230,NPL
"Micronesia, Fed. Sts.",4010,FSM
Cameroon,3970,CMR
Sudan,3910,SDN
Kiribati,3870,KIR
Papua New Guinea,3870,PNG
Senegal,3760,SEN
Benin,3750,BEN
Comoros,3560,COM
"Congo, Rep.",3400,COG
Vanuatu,3360,VUT
Zambia,3250,ZMB
Haiti,3160,HTI
Timor-Leste,2880,TLS
Lesotho,2870,LSO
Tanzania,2830,TZA
Solomon Islands,2680,SLB
Guinea,2560,GIN
Ethiopia,2530,ETH
Rwanda,2410,RWA
Togo,2340,TGO
Burkina Faso,2270,BFA
Zimbabwe,2270,ZWE
"Gambia, The",2220,GMB
Mali,2220,MLI
Uganda,2140,UGA
Guinea-Bissau,2010,GNB
Sierra Leone,1750,SLE
Afghanistan,1680,AFG
Malawi,1610,MWI
Madagascar,1570,MDG
Chad,1510,TCD
Liberia,1470,LBR
Niger,1330,NER
Mozambique,1320,MOZ
Somalia,1240,SOM
"Congo, Dem. Rep.",1110,COD
Central African Republic,980,CAF
Burundi,780,BDI
