"date","date_frac","m.y","country","code","cases"
2013-12-01,2013.91446169395,"Dec.13","Anguilla","AIA",0
2014-01-01,2014,"Jan.14","Anguilla","AIA",0
2014-02-01,2014.08487518716,"Feb.14","Anguilla","AIA",0
2014-03-01,2014.16153664654,"Mar.14","Anguilla","AIA",0
2014-04-01,2014.2464118337,"Apr.14","Anguilla","AIA",1
2014-05-01,2014.3285491116,"May.14","Anguilla","AIA",3
2014-06-01,2014.41342429876,"Jun.14","Anguilla","AIA",0
2014-07-01,2014.49556157666,"Jul.14","Anguilla","AIA",0
2014-08-01,2014.58043676383,"Aug.14","Anguilla","AIA",0
2014-09-01,2014.66531195099,"Sep.14","Anguilla","AIA",693
2014-10-01,2014.74744922889,"Oct.14","Anguilla","AIA",570
2014-11-01,2014.83232441605,"Nov.14","Anguilla","AIA",150
2014-12-01,2014.91446169395,"Dec.14","Anguilla","AIA",15
2015-01-01,2015,"Jan.15","Anguilla","AIA",12
2015-02-01,2015.08487518716,"Feb.15","Anguilla","AIA",14
2015-03-01,2015.16153664654,"Mar.15","Anguilla","AIA",3
2015-04-01,2015.2464118337,"Apr.15","Anguilla","AIA",7
2015-05-01,2015.3285491116,"May.15","Anguilla","AIA",0
2015-06-01,2015.41342429876,"Jun.15","Anguilla","AIA",0
2015-07-01,2015.49556157666,"Jul.15","Anguilla","AIA",0
2015-08-01,2015.58043676383,"Aug.15","Anguilla","AIA",0
2015-09-01,2015.66531195099,"Sep.15","Anguilla","AIA",0
2015-10-01,2015.74744922889,"Oct.15","Anguilla","AIA",0
2015-11-01,2015.83232441605,"Nov.15","Anguilla","AIA",0
2015-12-01,2015.91446169395,"Dec.15","Anguilla","AIA",0
2016-01-01,2016,"Jan.16","Anguilla","AIA",0
2016-02-01,2016.08487518716,"Feb.16","Anguilla","AIA",0
2016-03-01,2016.1642745558,"Mar.16","Anguilla","AIA",0
2016-04-01,2016.24914974296,"Apr.16","Anguilla","AIA",0
2016-05-01,2016.33128702086,"May.16","Anguilla","AIA",0
2016-06-01,2016.41616220803,"Jun.16","Anguilla","AIA",10
2016-07-01,2016.49829948593,"Jul.16","Anguilla","AIA",0
2016-08-01,2016.58317467309,"Aug.16","Anguilla","AIA",0
2016-09-01,2016.66804986025,"Sep.16","Anguilla","AIA",0
2016-10-01,2016.75018713815,"Oct.16","Anguilla","AIA",0
2016-11-01,2016.83506232531,"Nov.16","Anguilla","AIA",0
2016-12-01,2016.91719960321,"Dec.16","Anguilla","AIA",0
2013-12-01,2013.91446169395,"Dec.13","Antigua and Barbuda","ATG",0
2014-01-01,2014,"Jan.14","Antigua and Barbuda","ATG",0
2014-02-01,2014.08487518716,"Feb.14","Antigua and Barbuda","ATG",1
2014-03-01,2014.16153664654,"Mar.14","Antigua and Barbuda","ATG",0
2014-04-01,2014.2464118337,"Apr.14","Antigua and Barbuda","ATG",0
2014-05-01,2014.3285491116,"May.14","Antigua and Barbuda","ATG",0
2014-06-01,2014.41342429876,"Jun.14","Antigua and Barbuda","ATG",1
2014-07-01,2014.49556157666,"Jul.14","Antigua and Barbuda","ATG",0
2014-08-01,2014.58043676383,"Aug.14","Antigua and Barbuda","ATG",2
2014-09-01,2014.66531195099,"Sep.14","Antigua and Barbuda","ATG",100
2014-10-01,2014.74744922889,"Oct.14","Antigua and Barbuda","ATG",68
2014-11-01,2014.83232441605,"Nov.14","Antigua and Barbuda","ATG",137
2014-12-01,2014.91446169395,"Dec.14","Antigua and Barbuda","ATG",107
2015-01-01,2015,"Jan.15","Antigua and Barbuda","ATG",529
