date,date_frac,m.y,country,code,cases,outbreak
01/12/2013,2013.914462,Dec.13,Argentina,ARG,0,
01/01/2014,2014,Jan.14,Argentina,ARG,0,
01/02/2014,2014.084875,Feb.14,Argentina,ARG,0,
01/03/2014,2014.161537,Mar.14,Argentina,ARG,0,
01/04/2014,2014.246412,Apr.14,Argentina,ARG,0,
01/05/2014,2014.328549,May.14,Argentina,ARG,0,
01/06/2014,2014.413424,Jun.14,Argentina,ARG,0,
01/07/2014,2014.495562,Jul.14,Argentina,ARG,0,
01/08/2014,2014.580437,Aug.14,Argentina,ARG,0,
01/09/2014,2014.665312,Sep.14,Argentina,ARG,0,
01/10/2014,2014.747449,Oct.14,Argentina,ARG,0,
01/11/2014,2014.832324,Nov.14,Argentina,ARG,0,
01/12/2014,2014.914462,Dec.14,Argentina,ARG,0,
01/01/2015,2015,Jan.15,Argentina,ARG,0,
01/02/2015,2015.084875,Feb.15,Argentina,ARG,0,
01/03/2015,2015.161537,Mar.15,Argentina,ARG,0,
01/04/2015,2015.246412,Apr.15,Argentina,ARG,0,
01/05/2015,2015.328549,May.15,Argentina,ARG,0,
01/06/2015,2015.413424,Jun.15,Argentina,ARG,0,
01/07/2015,2015.495562,Jul.15,Argentina,ARG,0,
01/08/2015,2015.580437,Aug.15,Argentina,ARG,0,
01/09/2015,2015.665312,Sep.15,Argentina,ARG,0,
01/10/2015,2015.747449,Oct.15,Argentina,ARG,0,
01/11/2015,2015.832324,Nov.15,Argentina,ARG,0,
01/12/2015,2015.914462,Dec.15,Argentina,ARG,0,
01/01/2016,2016,Jan.16,Argentina,ARG,0,s
01/02/2016,2016.084875,Feb.16,Argentina,ARG,0,
01/03/2016,2016.164275,Mar.16,Argentina,ARG,51,
01/04/2016,2016.24915,Apr.16,Argentina,ARG,48,
01/05/2016,2016.331287,May.16,Argentina,ARG,2596,
01/06/2016,2016.416162,Jun.16,Argentina,ARG,335,
01/07/2016,2016.498299,Jul.16,Argentina,ARG,451,
01/08/2016,2016.583175,Aug.16,Argentina,ARG,97,
01/09/2016,2016.66805,Sep.16,Argentina,ARG,138,
01/10/2016,2016.750187,Oct.16,Argentina,ARG,0,
01/11/2016,2016.835062,Nov.16,Argentina,ARG,0,e
01/12/2016,2016.9172,Dec.16,Argentina,ARG,0,
01/01/2017,2017,Jan.17,Argentina,ARG,0,
01/02/2017,2017.084875,Feb.17,Argentina,ARG,0,
01/03/2017,2017.161537,Mar.17,Argentina,ARG,0,
01/04/2017,2017.246412,Apr.17,Argentina,ARG,0,
01/05/2017,2017.328549,May.17,Argentina,ARG,0,
01/06/2017,2017.413424,Jun.17,Argentina,ARG,0,
01/07/2017,2017.495562,Jul.17,Argentina,ARG,0,
01/08/2017,2017.580437,Aug.17,Argentina,ARG,0,
01/09/2017,2017.665312,Sep.17,Argentina,ARG,0,
01/10/2017,2017.747449,Oct.17,Argentina,ARG,0,
01/11/2017,2017.832324,Nov.17,Argentina,ARG,0,
01/12/2017,2017.914462,Dec.17,Argentina,ARG,0,
01/12/2013,2013.914462,Dec.13,Bahamas,BHS,0,
01/01/2014,2014,Jan.14,Bahamas,BHS,0,
01/02/2014,2014.084875,Feb.14,Bahamas,BHS,0,
01/03/2014,2014.161537,Mar.14,Bahamas,BHS,0,
01/04/2014,2014.246412,Apr.14,Bahamas,BHS,0,
01/05/2014,2014.328549,May.14,Bahamas,BHS,0,s
01/06/2014,2014.413424,Jun.14,Bahamas,BHS,0,
01/07/2014,2014.495562,Jul.14,Bahamas,BHS,1,
01/08/2014,2014.580437,Aug.14,Bahamas,BHS,79,
01/09/2014,2014.665312,Sep.14,Bahamas,BHS,0,
01/10/2014,2014.747449,Oct.14,Bahamas,BHS,506,
01/11/2014,2014.832324,Nov.14,Bahamas,BHS,1005,
01/12/2014,2014.914462,Dec.14,Bahamas,BHS,50,
01/01/2015,2015,Jan.15,Bahamas,BHS,222,
01/02/2015,2015.084875,Feb.15,Bahamas,BHS,1,
01/03/2015,2015.161537,Mar.15,Bahamas,BHS,0,
01/04/2015,2015.246412,Apr.15,Bahamas,BHS,3,
01/05/2015,2015.328549,May.15,Bahamas,BHS,0,
01/06/2015,2015.413424,Jun.15,Bahamas,BHS,0,e
01/07/2015,2015.495562,Jul.15,Bahamas,BHS,0,
01/08/2015,2015.580437,Aug.15,Bahamas,BHS,0,
01/09/2015,2015.665312,Sep.15,Bahamas,BHS,0,
01/10/2015,2015.747449,Oct.15,Bahamas,BHS,0,
01/11/2015,2015.832324,Nov.15,Bahamas,BHS,0,
01/12/2015,2015.914462,Dec.15,Bahamas,BHS,0,
01/01/2016,2016,Jan.16,Bahamas,BHS,0,
01/02/2016,2016.084875,Feb.16,Bahamas,BHS,0,
01/03/2016,2016.164275,Mar.16,Bahamas,BHS,0,
01/04/2016,2016.24915,Apr.16,Bahamas,BHS,0,
01/05/2016,2016.331287,May.16,Bahamas,BHS,76,
01/06/2016,2016.416162,Jun.16,Bahamas,BHS,0,
01/07/2016,2016.498299,Jul.16,Bahamas,BHS,0,
01/08/2016,2016.583175,Aug.16,Bahamas,BHS,0,
01/09/2016,2016.66805,Sep.16,Bahamas,BHS,0,
01/10/2016,2016.750187,Oct.16,Bahamas,BHS,0,
01/11/2016,2016.835062,Nov.16,Bahamas,BHS,0,
01/12/2016,2016.9172,Dec.16,Bahamas,BHS,0,
01/12/2013,2013.914462,Dec.13,Barbados,BRB,0,s
01/01/2014,2014,Jan.14,Barbados,BRB,5,
01/02/2014,2014.084875,Feb.14,Barbados,BRB,0,
01/03/2014,2014.161537,Mar.14,Barbados,BRB,2,
01/04/2014,2014.246412,Apr.14,Barbados,BRB,2,
01/05/2014,2014.328549,May.14,Barbados,BRB,11,
01/06/2014,2014.413424,Jun.14,Barbados,BRB,0,
01/07/2014,2014.495562,Jul.14,Barbados,BRB,0,
01/08/2014,2014.580437,Aug.14,Barbados,BRB,0,
01/09/2014,2014.665312,Sep.14,Barbados,BRB,0,
01/10/2014,2014.747449,Oct.14,Barbados,BRB,24,
01/11/2014,2014.832324,Nov.14,Barbados,BRB,0,
01/12/2014,2014.914462,Dec.14,Barbados,BRB,350,
01/01/2015,2015,Jan.15,Barbados,BRB,0,
01/02/2015,2015.084875,Feb.15,Barbados,BRB,0,
01/03/2015,2015.161537,Mar.15,Barbados,BRB,155,
01/04/2015,2015.246412,Apr.15,Barbados,BRB,0,
01/05/2015,2015.328549,May.15,Barbados,BRB,0,
01/06/2015,2015.413424,Jun.15,Barbados,BRB,237,
01/07/2015,2015.495562,Jul.15,Barbados,BRB,0,
01/08/2015,2015.580437,Aug.15,Barbados,BRB,0,
01/09/2015,2015.665312,Sep.15,Barbados,BRB,0,
01/10/2015,2015.747449,Oct.15,Barbados,BRB,0,
01/11/2015,2015.832324,Nov.15,Barbados,BRB,0,
01/12/2015,2015.914462,Dec.15,Barbados,BRB,0,
01/01/2016,2016,Jan.16,Barbados,BRB,0,
01/02/2016,2016.084875,Feb.16,Barbados,BRB,0,
01/03/2016,2016.164275,Mar.16,Barbados,BRB,0,
01/04/2016,2016.24915,Apr.16,Barbados,BRB,0,
01/05/2016,2016.331287,May.16,Barbados,BRB,86,
