"date","date_frac","m.y","country","code","cases","outbreak"
2014-07-01,2014.495562,"Jul.14","Bahamas","BHS",1,"s"
2014-08-01,2014.580437,"Aug.14","Bahamas","BHS",79,NA
2014-09-01,2014.665312,"Sep.14","Bahamas","BHS",0,NA
2014-10-01,2014.747449,"Oct.14","Bahamas","BHS",506,NA
2014-11-01,2014.832324,"Nov.14","Bahamas","BHS",1005,NA
2014-12-01,2014.914462,"Dec.14","Bahamas","BHS",50,NA
2015-01-01,2015,"Jan.15","Bahamas","BHS",222,NA
2015-02-01,2015.084875,"Feb.15","Bahamas","BHS",1,NA
2015-03-01,2015.161537,"Mar.15","Bahamas","BHS",0,NA
2015-04-01,2015.246412,"Apr.15","Bahamas","BHS",3,"e"
2016-01-01,2016,"Jan.16","Brazil","BRA",2593,NA
2016-01-01,2016,"Jan.16","Brazil","BRA",0,"s"
2016-02-01,2016.084875,"Feb.16","Brazil","BRA",0,NA
2016-03-01,2016.164275,"Mar.16","Brazil","BRA",2766,NA
2016-04-01,2016.24915,"Apr.16","Brazil","BRA",36251,NA
2016-05-01,2016.331287,"May.16","Brazil","BRA",28098,NA
2016-06-01,2016.416162,"Jun.16","Brazil","BRA",55580,NA
2016-07-01,2016.498299,"Jul.16","Brazil","BRA",82228,NA
2016-08-01,2016.583175,"Aug.16","Brazil","BRA",87428,NA
2016-09-01,2016.66805,"Sep.16","Brazil","BRA",128674,NA
2016-10-01,2016.750187,"Oct.16","Brazil","BRA",87428,NA
2016-11-01,2016.835062,"Nov.16","Brazil","BRA",20185,NA
2016-12-01,2016.9172,"Dec.16","Brazil","BRA",27311,NA
2017-02-01,2017.084875,"Feb.17","Brazil","BRA",3754,NA
2017-03-01,2017.161537,"Mar.17","Brazil","BRA",0,"e"
2016-12-01,2016.9172,"Dec.16","Brazil","BRA",0,"s"
2017-02-01,2017.084875,"Feb.17","Brazil","BRA",0,NA
2017-03-01,2017.161538,"Mar.17","Brazil","BRA",2184,NA
2016-12-01,2016.9172,"Dec.16","Brazil","BRA",27311,NA
2017-02-01,2017.084875,"Feb.17","Brazil","BRA",3754,NA
2017-03-01,2017.161537,"Mar.17","Brazil","BRA",0,"e"
2016-12-01,2016.9172,"Dec.16","Brazil","BRA",0,"s"
2017-02-01,2017.084875,"Feb.17","Brazil","BRA",0,NA
2017-03-01,2017.161538,"Mar.17","Brazil","BRA",2184,NA
2017-04-01,2017.246412,"Apr.17","Brazil","BRA",16560,NA
2017-05-01,2017.328549,"May.17","Brazil","BRA",54095,NA
2017-07-01,2017.495562,"Jul.17","Brazil","BRA",50800,NA
2017-08-01,2017.580437,"Aug.17","Brazil","BRA",31386,NA
2017-09-01,2017.665312,"Sep.17","Brazil","BRA",37183,NA
2017-10-01,2017.747449,"Oct.17","Brazil","BRA",0,NA
2017-11-01,2017.832324,"Nov.17","Brazil","BRA",0,NA
2017-12-01,2017.914462,"Dec.17","Brazil","BRA",0,NA
2018-01-01,2018,"Jan.18","Brazil","BRA",0,NA
2018-02-01,2018.084875,"Feb.18","Brazil","BRA",0,"e"
2014-05-01,2014.328549,"May.14","Costa Rica","CRI",0,"s"
2014-06-01,2014.413424,"Jun.14","Costa Rica","CRI",0,NA
2014-07-01,2014.495562,"Jul.14","Costa Rica","CRI",0,NA
2014-08-01,2014.580437,"Aug.14","Costa Rica","CRI",0,NA
2014-09-01,2014.665312,"Sep.14","Costa Rica","CRI",4697,NA
2014-10-01,2014.747449,"Oct.14","Costa Rica","CRI",15006,NA
2014-11-01,2014.832324,"Nov.14","Costa Rica","CRI",19798,NA
2014-12-01,2014.914462,"Dec.14","Costa Rica","CRI",35065,NA
2015-01-01,2015,"Jan.15","Costa Rica","CRI",52778,NA
2015-02-01,2015.084875,"Feb.15","Costa Rica","CRI",49843,NA
2015-03-01,2015.161537,"Mar.15","Costa Rica","CRI",16,NA
2015-04-01,2015.246412,"Apr.15","Costa Rica","CRI",7,NA
2015-05-01,2015.328549,"May.15","Costa Rica","CRI",0,NA
2015-06-01,2015.413424,"Jun.15","Costa Rica","CRI",0,NA
2015-07-01,2015.495562,"Jul.15","Costa Rica","CRI",0,"e"
2015-09-01,2015.665312,"Sep.15","Costa Rica","CRI",0,"s"
2015-10-01,2015.747449,"Oct.15","Costa Rica","CRI",0,NA
2015-11-01,2015.832324,"Nov.15","Costa Rica","CRI",0,NA
2015-12-01,2015.914462,"Dec.15","Costa Rica","CRI",0,NA
2016-01-01,2016,"Jan.16","Costa Rica","CRI",628,NA
2016-02-01,2016.084875,"Feb.16","Costa Rica","CRI",962,NA
2016-03-01,2016.164275,"Mar.16","Costa Rica","CRI",205,NA
2016-04-01,2016.24915,"Apr.16","Costa Rica","CRI",190,NA
2016-05-01,2016.331287,"May.16","Costa Rica","CRI",53,NA
2016-06-01,2016.416162,"Jun.16","Costa Rica","CRI",0,NA
2016-07-01,2016.498299,"Jul.16","Costa Rica","CRI",0,NA
2016-08-01,2016.583175,"Aug.16","Costa Rica","CRI",0,"e"
2013-12-01,2013.914462,"Dec.13","Dominican Republic","DOM",0,"s"
2014-01-01,2014,"Jan.14","Dominican Republic","DOM",0,NA
2014-02-01,2014.084875,"Feb.14","Dominican Republic","DOM",0,NA
2014-03-01,2014.161537,"Mar.14","Dominican Republic","DOM",0,NA
2014-04-01,2014.246412,"Apr.14","Dominican Republic","DOM",7537,NA
2014-05-01,2014.328549,"May.14","Dominican Republic","DOM",31119,NA
2014-06-01,2014.413424,"Jun.14","Dominican Republic","DOM",126795,NA
2014-07-01,2014.495562,"Jul.14","Dominican Republic","DOM",142482,NA
2014-08-01,2014.580437,"Aug.14","Dominican Republic","DOM",121559,NA
2014-09-01,2014.665312,"Sep.14","Dominican Republic","DOM",56898,NA
2014-10-01,2014.747449,"Oct.14","Dominican Republic","DOM",0,NA
2014-11-01,2014.832324,"Nov.14","Dominican Republic","DOM",12610,NA
2014-12-01,2014.914462,"Dec.14","Dominican Republic","DOM",25381,NA
2015-01-01,2015,"Jan.15","Dominican Republic","DOM",14802,NA
2015-02-01,2015.084875,"Feb.15","Dominican Republic","DOM",0,NA
2015-03-01,2015.161537,"Mar.15","Dominican Republic","DOM",39,NA
2015-04-01,2015.246412,"Apr.15","Dominican Republic","DOM",6,NA
