"country","who_region","classification","infections_mean","infections_min","infections_max","cases_mean","cases_min","cases_max","deaths_mean","deaths_min","deaths_max","dalys_mean","dalys_min","dalys_max"
"Afghanistan","EasternMed","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Albania","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Algeria","Africa","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Angola","Africa","Epidemic",222188.03194174,65690.3008733426,426781.023018787,111094.01597087,32845.1504366713,213390.511509394,169.466102758617,49.980748996233,329.522519203073,8937.29589635206,2612.27617660779,17507.8805930249
"Argentina","Americas","Epidemic",238425.72060681,82483.9594202173,453937.073149644,119212.860303405,41241.9797101087,226968.536574822,184.727736309619,63.7140685606421,353.333350016853,8884.24185542735,3026.41171288797,17182.8651398619
"Armenia","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Australia","WesternPacific","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Austria","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Azerbaijan","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Bahamas,_The","Americas","Epidemic",1884.71030332085,0,4926.06623840467,942.355151660426,0,2463.03311920233,1.30571721256164,0,3.46474553835255,61.192396073625,0,166.748554895291
"Bahrain","EasternMed","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Bangladesh","SoutheastAsia","Epidemic",1370305.6451945,850426.726574405,1910008.9770305,685152.82259725,425213.363287203,955004.488515252,905.843147442621,560.718181327542,1268.47832136629,46371.0562996173,28604.3109806867,65169.4390691936
"Barbados","Americas","Epidemic",1548.1494755416,0,4610.17603891652,774.074737770802,0,2305.08801945826,1.19404864030515,0,3.58786336865857,50.8144604278647,0,153.27455128371
"Belarus","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Belgium","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Belize","Americas","Endemic",4545.20475889066,1331.28654055546,8245.64881003386,2272.60237944533,665.643270277731,4122.82440501693,3.21084321124382,0.916727724848307,5.97437963563005,182.719546418766,51.1108195396387,346.487664397656
"Benin","Africa","Epidemic",86772.7530603683,0,243221.079526664,43386.3765301841,0,121610.539763332,65.4207342161349,0,186.29340670213,3250.57518081976,0,9390.80642674094
"Bhutan","SoutheastAsia","Epidemic",4682.2754884984,0,12932.3687049697,2341.1377442492,0,6466.18435248484,3.02592841044228,0,8.49438731813818,148.493168663896,0,425.511711372585
"Bolivia","Americas","Endemic",77403.4685366344,24850.6501651289,152376.640583309,38701.7342683172,12425.3250825645,76188.3202916547,55.9633729139033,17.5106546073138,113.651219320565,2799.57685151127,856.857924054797,5827.59035261489
"Bosnia_and_Herzegovina","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Botswana","Africa","Epidemic",14867.0889014561,0,42705.0965503541,7433.54445072807,0,21352.548275177,10.3248897644818,0,30.4348674629058,532.373343901841,0,1598.64170279407
"Brazil","Americas","Endemic",2469449.82977412,1507694.26487163,4437806.95335648,1234724.91488706,753847.132435813,2218903.47667824,1758.78073948843,1062.78579533603,3219.89506996975,85966.1473966635,51163.5086350915,161519.249767676
"Brunei","WesternPacific","Epidemic",3941.12897317869,0,10434.7369210367,1970.56448658934,0,5217.36846051833,2.52034372211527,0,6.75779401229502,128.936841709985,0,350.433379701373
"Bulgaria","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Burkina_Faso","Africa","Epidemic",154599.8027005,29585.7531776149,341919.310985751,77299.9013502498,14792.8765888075,170959.655492875,116.538831697715,21.9727399347239,261.609984613499,5873.64312404874,1106.1718505669,13266.8488046987
"Burundi","Africa","Epidemic",74483.9211959005,0,207878.88677527,37241.9605979503,0,103939.443387635,56.998421872378,0,162.932166923248,3009.5333517104,0,8709.42380649641
"Cambodia","WesternPacific","Epidemic",145328.308288488,0,421722.199856189,72664.1541442439,0,210861.099928095,97.5496107551805,0,288.128584894489,4934.09217710537,0,14827.2661442124
"Cameroon","Africa","Epidemic",174525.562891018,34273.7278577862,380301.896225998,87262.7814455092,17136.8639288931,190150.948112999,130.29604773615,25.031862260485,286.569923895722,6606.06437548529,1259.11805638538,14602.9114859568
"Canada","Americas","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
